"Source:","http://www.lib.berkeley.edu/MRC/Sovietfilm.html"
"

Contents:
"
"â€¢149; Ѭ href=""#soviet"">Russia (Soviet Union)Ж","â€¢149; Ѭ href=""#russia"">Russian Silent FilmЖ","â€¢149; Ѭ href=""#czech"">CzechoslovakiaЖ","â€¢149; Ѭ href=""#hungary"">HungaryЖ","â€¢149; Ѭ href=""#poland"">PolandЖ","â€¢149; Ѭ href=""#romania"">RomaniaЖ","â€¢149; Ѭ href=""#yugo"">Yugoslavia/Serbia/Croatia/MacedoniaЖ"
"Everything for Sale (Wszystko na Sprzedaâ€¢380;) (1968)","Directed by Andrzej Wajda. Cast: Andrzej &#321apicki, Daniel Olbrychski, Beata Tyszkiewicz, Elzbieta Czyzewska, Bogumil Kobiela, Malgorzta Potocka. Inspired by the death of Polish actor Zbigniew Cybulski, this film focuses on the behind-the-scenes lives of a director and his actors when they are disrupted by the mysterious murder of their leading man. 94 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7405"">DVD 7405Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0065226/"">Credits and other information from the Internet Movie DatabaseЖ"
"A Generation (Pokolenie) (1955)","Directed by Andrzej Wajda. Cast: Tadeusz â€¢321;omnicki, Urszula Modrzynska, Tadeusz Janczar, Janusz Paluszkiewicz, Ryszard Kotas, Roman Polanski. The story of a cocky Polish youth who decides to fight the Nazis after he falls for a pretty resistance leader. As he and his friends help excapees during the Warsaw ghetto uprising, the innocence of a generation is lost under the grueling conditions of war. Special features: interview, Andrzej Wajda: on becoming a filmmaker (2003 ; ca. 34 min.); short film Ceramika Iâ€¢322;zecka = Ceramics from Ilza (1951; b&w; ca. 10 min.) ; stills galleries. In booklet: essay by film scholar Ewa Mazierska. 85 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5330"">DVD X5330Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1050"">vhs 999:1050Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0048500/"">Credits and other information from the Internet Movie DatabaseЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#generation"">See separate bibliography of reviews and articles about this filmЖ"
"Horizontal Landscape (Pejzaâ€¢380; horyzontalny) (1978)","Directed by Janusz Kidawa. Cast: Mieczysâ€¢322;aw Hryniewicz, Jarosâ€¢322;aw Kopaczewski, Wieslaw Wójcik, Tadeusz Madeja. Three construction workers live together in a tiny private apartment while building a new factory. Their foreman, Lolecki, is supposed to be supervising the production line, but instead he abuses his position by neglecting his responsibilities. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4183"">DVD X4183Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0099773/"">Credits and other information from the Internet Movie DatabaseЖ"
"Immoral Story (Historia niemoralna) (1987)","Directed by Barbara Sass. Cast: Dorota Stalinska, Teresa Budzisz-Krzyzanowska, Michal Bajor, Marek Lewandowski, Olaf Lubaszenko. Once a major star of the stage, aging actress Ewa now wiles away her time drinking in her dreary apartment. She dreams of making a comeback but her drinking, self-centered behavior, and abrasive personality prevent her from getting a job. 108 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7261"">DVD 7261Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0099773/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Just Beyond This Forest (Jeszcze tylko ten las) (Poland, 1991)","Directed by Jan â€¢321;omnicki. Cast: Ryszarda Hanin, Joanna Friedman, Marzena Trybaâ€¢322;a, Marta Klubowicz. Set in 1942, the film opens with an Aryan washerwoman arriving in the Warsaw ghetto. The Jewish woman she worked for before the war hires her to take her young daughter to the countryside until the war is over. 87 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6194"">DVD X6194Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0102153/"">Credits and other information from the Internet Movie DatabaseЖ"
"Katyn (Poland, 2007)","Directed by Andrzej Wajda. Cast: Andrzej Chyra, Maja Ostaszewska, Artur Zmijewski, Jan Englert, Danuta Stenka, Magdalena Cielecka, Agnieszka Glinska, Maja Komorowska, Sergey Garmash. Dramatization of the massacre of 20,000 people (interned Polish officers as well as civilians accused of treason by the occupying Soviet forces) by the Soviet secret police at Katyn' in the spring of 1940, and the cover-up that followed. Follows the fictional stories of four families, separated from one another in the confusion of September 1939, when the Soviets and Germans invaded Poland, through the Soviet occupation in 1945 when the truth of the massacre gets suppressed. Based on the novel ""Post mortem"" by Andrzej Mularczyk. Special features: Interview with director Andrejz Wajda ; ""Katyn: 60 days on the set: making-of featurette,"" Polish premiere: interviews and reactions ; photo gallery. 121 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3775"">DVD X3775Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0879843/"">Credits and other information from the Internet Movie DatabaseЖ"
"Kingsize (Kingsajz) (1987)","Directed by Juliusz Machulski. Cast: Jacek Chmielnik, Jerzy Stuhr, Katarzyna Figura, Grzegorz Herominski, Joachim Lamza, Maciej Kozâ€¢322;owski, Jan Machulski, Leonard Pietraszak, Witold Pyrkosz, Liza Machulska. The story follows a young scientist in the contemporary world, who actually came from the world of dwarves, thanks to a magic potion, held by the Big Eater, ruler of the dwarves. Based on Juliusz Machulski's novel Szuflandia. 104 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6249"">DVD 6249Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0095452/"">Credits and other information from the Internet Movie DatabaseЖ"
"Knife in the Water (Nóâ€¢380; w Wodzie) (1962)","Director, Roman Polanski. Cast: Leon Niemczyk, Jolanta Umecka, Zygmunt Malanowicz. A middle-aged journalist and his wife invite a footloose young hitch-hiker aboard their sailboat for a Sunday outing in the Polish lake district. The men proceed to flaunt their virility before the woman, revealing a cynical sadism on the part of the husband and a growing resentment in the knife-wielding youth. Polanski's first feature film, an astute spare analysis of personality conflicts. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1935"">DVD 1935Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0056291/"">Credits and other information from the Internet Movie DatabaseЖ

See also:
â€¢149; Skolimowski, Jerzy. Knife in the Water / [original screenplay by Jerzy Skolimowski, Jakub Goldberg and Roman Polanski; translated from the Polish by Boleslaw Sulik]. London: Lorrimer, 1975. ( PN1997 .S54 Main Stack; PN1997 .P5314 Moffitt)

"
"Korczak (1990)","Directed by Andrzej Wajda. Cast: Wojtek Pszoniak, Ewa Dalkowska. Tells the true story of Janusz Korczak, a renowned physician and author, who ran a home for Jewish orphans in 1930's Warsaw. Urged by friends to flee the country, he chose to remain with his orphans, but as the war continued it became plain that, depite Krczak's tireless efforts, the children would be deported to concentration camps. 118 min. 999:3652","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0099949/"">Credits and other information from the Internet Movie DatabaseЖ"
"Land of Promise (Promised Land) (Ziemia obiecana) (1975)","Director, Andrzej Wajda. Cast: Daniel Olbrychski, Wojciech Pszoniak, Andrzej Seweryn. Three industrialists representing different ethnic groups in Poland, build a textile factory in Lodz at the turn of the century, but encounter problems with overworked, underpaid workers. Based on the novel: Ziemia obiecana = The Promised land / Wl.St. Reymont. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7408"">DVD 7408Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2820"">vhs 999:2820Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0072446"">Credits and other information from the Internet Movie DatabaseЖ"
"Landscape After Battle (Krajobraz po bitwie) (1970)","Director, Andrzej Wajda. Cast: Daniel Olbrychski, Stanislawa Celinska, Aleksander Bardini, Tadeusz Janczar, Zygmunt Malanowicz. A love story between two Poles at the end of World War II portraying the destructive effects of war on the human spirit. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7406"">DVD 7406Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0065948/"">Credits and other information from the Internet Movie DatabaseЖ
"
"The Last Stage (Ostatni etap)(Poland, 1948)","Directed by Wanda Jakubowska. Cast: Wanda Bartowna, Hugette Faget, Tatiana Gorecka, Edward Dziewonski. Martha Weiss, a Jew, is sent to Auschwitz concentration camp with her family. On the first day of their arrival Martha is, by a coincidence, chosen as an interpreter, but her entire family is killed. The horrible lives of female inmates of Auschwitz are chronicled in this accurate recreation of actual events. Based on the true experiences of film director, Wanda Jakubowska, as a prisoner of a German concentration camp. Partially shot on location at Auschwitz concentration camp. 105 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4655"">DVD X4655Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0040674/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149; Balazs, Bela; Liebman, Stuart; Berger, Zsuzsa. ""Bela Balazs on Wanda Jakubowska's 'The Last Stop': Three Texts."" Slavic and East European Performance. Fall 1996, Vol. 16 Issue 3, p64 J
â€¢149;Haltof, Marek. ""Return to Auschwitz: Wanda Jakubowska's Last Stage."" Polish Review, 2010, Vol. 55 Issue 1, p7-34, 28p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hlh&AN=57494870&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Hirsch, Joshua Francis. ""Jakubowska Realist Paradigm and Polanski's Allegorical Alternative."" In: Afterimage : film, trauma, and the Holocaust / Joshua Hirsch. Philadelphia : Temple University Press, c2004. (Ѭ href=""http://site.ebrary.com/lib/berkeley/docDetail.action?docID"">Full text available onlineЖ [UC Berkeley users only]; Print: Main (Gardner) Stacks PN1995.9.H53 H57 2004)
â€¢149;Liebman, Stuart; Prendowska, Krystyna. ""'I Was Always in the Epicenter of Whatever was Going On...': An Interview With Wanda Jakubowska."" Slavic and East European Performance. Fall 1997, Vol. 17 Issue 3, p16
â€¢149;Loewy, Hanno. ""The mother of all holocaust films?: Wanda Jakubowska's Auschwitz trilogy."" Historical Journal of Film, Radio & Television; Jun2004, Vol. 24 Issue 2, p179-204, 26p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=hia&AN=13532172&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Mazierska, Ewa. ""Double Memory: The Holocaust in Polish Film."" In: Holocaust and the moving image : representations in film and television since 1933 / edited by Toby London ; New York : Wallflower, 2005. (Main (Gardner) Stacks PN1995.9.H53 H65 2005)
â€¢149;Mazierska, Ewa. ""Wanda Jakubowska's Cinema of Commitment."" European Journal of Women's Studies, May2001, Vol. 8 Issue 2, p221, 18p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=5852629&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ
â€¢149;Quart, Leonard. ""The Last Stage."" Cineaste. Summer 2010, Vol. 35 Issue 3, p58 Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=sbh&AN=97389&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ

"
"A Lonely Woman (Kobieta samotna) (1981)","Director, screenwriter, Agnieszka Holland. Cast: Maria Chwalibóg, Bogusâ€¢322;aw Linda, Paweâ€¢322; Witczak. Irena, a postal worker and single mother living with her son in a drab apartment in Oroclaw, has a lot of problems: her son gets in trouble at school and her work supervisor wants to give her postal route to someone else. After stealing some money she should be delivering, she places her son in a boarding school and buys a used car to make a dash for West Berlin hoping to escape her home, her life and her poverty. 94 min. 999:3509","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0082625/"">Credits and other information from the Internet Movie DatabaseЖ"
"Lotna (1959)","Director, Andrzej Wajda. Cast: Jerzy Pichelski, Adam Pawlikowski, Jerzy Moes, Mieczysâ€¢322;aw â€¢321;oza, Boâ€¢380;ena Kurowska. Tells the history of the Polish cavalry in its fight against the Germans in World War II as symbolized by an off-white horse that passes to various people in the military until it breaks its leg and is shot. 89 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7493"">DVD 7493Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0053019/"">Credits and other information from the Internet Movie DatabaseЖ"
"Man of IronЖ (Czlowiek z Zelaza) (1957)","Directed by Andrzej Wajda. Cast: Jerzy Radziwióâ€¢322;wicz, Krystyna Janda, Marian Opania, Wiesáâ€¢322;wa Kosmalska, Irena Bynska, Bogusâ€¢322;aw Linda ; with Lech Walesa, Anna Walentynowicz. The Polish Solidarity strike takes place at the Gdansk shipyard in the summer of 1980. When an alcoholic TV journalist is ordered to smear one of Solidarity's key figures, coined the ""man of iron,"" instead of finding evidence against him he finds himself re-politicized and in support of the independent trade-union movement. 140 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4369"">DVD X4369Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2321"">vhs 999:2321Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0082222"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Cannes Film Festival - Palme d'Or; Prize of the Ecumenical Jury
â€¢149;London Critics Circle Film Awards - Foreign Language Film of the Year; Director of the Year

","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#iron"">See separate bibliography of reviews and articles about this filmЖ"
"Man of Marble (Czâ€¢322;owiek z Marmuru) (1977)","Directed by Andrzej Wajda. Cast: Jerzy Radziwilowicz, Krystyna Janda, Tadeusz â€¢321;omnicki, Jacek â€¢321;omnicki, Michaâ€¢322; Tarkowski, Piotr Cieâ€¢347;lak, Wiesâ€¢322;aw Wójcik, Krystyna Zachwatowicz, Magda Teresa Wójcik. The Polish Solidarity strike takes place at the Gdanskshipyard in the summer of 1980. A television journalist is ordered to smear one of Solidarity's key figures, a bricklayer coined the ""Man of Marble."" 160 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2092"">DVD 2092Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1053"">vhs 999:1053Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0075902/"">Credits and other information from the Internet Movie DatabaseЖ","See also:

â€¢149; See Ѭ href=""#iron"">Man of IronЖ

"
"Man on the Tracks (Czlowiek na torze) (1957)","Directed by Andrzej Munk. Cast: Kazimierz Opaliâ€¢324;ski, Zygmunt Maciejewski, Zygmunt Zintel, Zygmunt Listkiewicz, Roman Kâ€¢322;osowski. An engine driver is found slumped across train tracks in the middle of the night. Characters who knew the man investigate his death, each relating their own interpretation. This classic of anti-Stalinism film examines the problems of 1950s Poland. 86 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6295"">DVD X6295Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0050282/"">Credits and other information from the Internet Movie DatabaseЖ"
"The Mill and the Cross (Poland | Sweden, 2011)","Directed by Lech Majewski. Cast: Rutger Hauer, Michael York, Charlotte Rampling. Uses digial effects and immersive period detail to transport viewers inside Pieter Bruegel's famous 1564 painting, The way to Calvary, where Bruegel himself tours the canvas discussing the various images and the meanings behind them, allowing viewers to experience daily life in turbulent 16th century Flanders. Bonus features: ""The world according to Bruegel"" documentary (45 min.) ; interview with director Lech Majewski (20 min.) ; stills gallery, original theatrical trailer, Kino Lorber trailers. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7205"">DVD X7205Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt1324055/"">Credits and other information from the Internet Movie DatabaseЖ
"
"Mother Joan of the Angels (Matka Joanna od Aniolów) (1961)","Directed by Jerzy Kawalerowicz. Cast: Lucnya Winnicka, Mieczysâ€¢322;aw Voit, Anna Ciepielewska, Maria Chwalibog. This allegory of good vs. evil, chastity vs. passion, is based on actual events. The Mother Superior of a seventeenth century Polish convent comes to desire the priest investigating demonic possession among the nuns. 108 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5536"">DVD 5536Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0055153/"">Credits and other information from the Internet Movie DatabaseЖ


â€¢149;Awards
â€¢149;Cannes Film Festival - Special Jury Prize

"
"No End (Bez koâ€¢324;ca) (1985)","Director, Krysztof Kieâ€¢347;lowski. Cast: Grazyna Szapolowska, Krzysztof Krzeminski, Jerzy Radziwilowicz, Aleksander Bardini. Antek was one of the few lawyers willing to take on political cases in a period of enforced martial law. Upon his unexpected death, Antek's wife Ulla struggles to cope with her grief. She eventually takes on the task of finding another attorney to take over one of her husband's cases to defend a man jailed for leading a labor strike. After connecting a colleague from Antek's past with the prisoner's wife, a series of mysterious signals make Ulla believe that Antek's ghost is warning her about the man choosen to replace him. 103 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4185"">DVD 4185Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0086961/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Ballester, César. ""Individuality in Kieâ€¢347;lowski's Bez Konca."" Studies in European Cinema, 2009, Vol. 6 Issue 1, p77-89, 13p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=45088475&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ




Reviews and articles:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#Kie%C5%9Blowski"">Krysztof Kieâ€¢347;lowski bibliographyЖ

"
"100 Years of Polish Cinema","Pawel Lozinski's film focuses not on the filmmakers, but on those for whom movies are made -- the audience. Through interviews with children and the elderly, Lozinski attempts to evoke the magic and power of Polish cinema through collective memory. 61 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM445"">Video/C MM445Ж"
"Pan Tadeusz (Poland / France, 1999)","Director, Andrzej Wajda. Cast: Bogusâ€¢322;aw Linda, Daniel Olbrychski, Grazyna Szapolowska, Andrzej Seweryn, Marek Kondrat, Michal Zebrowski, Alicja Curus-Bachleda. Based on the epic poem by Adam Mickiewicz, the film's plot revolves around a feud between two Polish gentry families living under Russian rule. Vengeance, thwarted love, lusty trysts, mind-boggling secrets, feasts, hunts, balls, and battles enliven the action, which unfolds amidst the Poles' hope that Napoleon's invasion of Russia will lead to the restoration of Polish statehood. 157 min. 999:3377","â€¢149;Ѭ href=""http://us.imdb.com/Title?0170351"">Credits and other information from the Internet Movie DatabaseЖ
","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#tadeusz"">See separate bibliography of reviews and articles about this filmЖ"
"Pornography (Pornografia) (Poland / France, 2003)","Directed by Jan Jakub Kolski. Cast: Krzysztof Majchrzak, Adam Ferency, Krzysztof Globisz, Gra#380;yna Bâ€¢322;â€¢281;cka-Kolska, Grzegorz Damiâ€¢281;cki. An adaptation of Witold Gombrowicz novel set in 1943 in occupied Poland. Two older men visiting a country estate become obsessed with the lives of their host's adolescent daughter and the son of the local bailiff. As they try to ignite a love affair between the two young people their personalities become submerged and they eventually become the victims of their own manipulations. 152 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6294"">DVD 6294Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0357037/"">Credits and other information from the Internet Movie DatabaseЖ"
"Promised Land (Ziemia obiecana) (2003)","Directed by Andrzej Wajda. Cast: Daniel Olbrychski, Wojciech Pszoniak, Andrzej Seweryn. Interpretation of a classic epic depicting the changes in values ushered in by the industrial revolution. Three friends build a factory in Lodz but are sidetracked by local politics and a dangerous love affair. 138 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7408"">DVD 7408Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0072446/"">Credits and other information from the Internet Movie DatabaseЖ"
"Red (Rouge) (1994)","Director, Krysztof Kieâ€¢347;lowski. See Ѭ href=""http://www.lib.berkeley.edu/MRC/Frenchfilm.html#rouge"">French Cinema filmographyЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#colors"">See separate bibliography of reviews and articles about this filmЖ"
"Revenge (Zemsta) (2002)","Directed by Andrzej Wajda. Cast: Roman Polanski, Janusz Gajos, Andrzej Seweryn, Katarzyna Figura, Daniel Olbrychski, Agata Buzek, Rafa Krolikowski. Czesnik and Rejent are the combative scions of two prominent families fallen on hard times, both of whom have the poor fortune of having homes which share a common courtyard. Czesnik's niece Klara has fallen in love with Waclaw, Rejent's son. However, Rejent has promised his son to Podstolina, a beautiful widow who has attracted Czesnik's eye. Meanwhile, Papkin, a former nobleman short on both cash and courage, hopes to wed Klara, but as a neutral party in the feud between the two clans, Klara thinks she might be able to use Papkin for her own purposes to bring her together with Waclaw. 101 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6248"">DVD 6248Ж","â€¢149;Ѭ href=""http://imdb.com/title/tt0314942/"">Credits and other information from the Internet Movie DatabaseЖ"
"Samson (1961)","Directed by Andrzej Wajda. Cast: Kowalski, Irena Netto, Beata Tyszkiewicz, Jan Ibel. This Polish drama presents a psychological study of Jakub Gold, a Polish Jew imprisoned for killing a schoolmate in a brawl. He is released from prison at the outbreak of World War II, only to be confined to the Warsaw ghetto. Escaping the ghetto, he is still confined--by the fear of being Jewish in a world hostile to Jews. 115 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9886"">DVD 9886Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0055401/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:

â€¢149;Coates, Paul. ""Walls and Frontiers: Polish Cinema's Portrayal of Polish-Jewish Relations."" Polin 1997 10: 221-246 26p.
â€¢149;Mazierska, Ewa. ""Non-Jewish Jews, Good Poles and Historical Truth in the Films of Andrzej Wajda."" Historical Journal of Film, Radio & Television, Jun2000, Vol. 20 Issue 2, p213-226, 14p Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=f3h&AN=3409418&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ


"
"The Scar (Blizna ) (1976)","Director, Krysztof Kieâ€¢347;lowski. Cast: Franciszek Pieczka, Stanislaw Igar, Mariusz Dmochowski, Halina Winiarska, Jerzy Stuhr, Jan Skotnicki, Stanislaw Michalski. An ambitious small town Polish communist official prepares to receive a delegation from Warsaw. At stake is a large fertilizer factory contract that would mean hundreds of jobs for a dirt poor rural province. But winning the contract creates more problems than it solves as politicians, environmentalists, and displaced citizens alike inadvertently plumb the gap between socialism and the anarchy of human nature. The builder turned reluctant factory director's quiet conscience becomes the moral center of a sprawling, tapestry of greed, conspiracy and grudges. Special features: Interview with cinematographer Slawomir Idziak; interview with filmmaker Agnieszka Holland; interview with sound engineer Michal Zarnecki; ""Concert of requests"" (b&w, 1967, 15 min.) a short film by Kieâ€¢347;lowski (in Polish w/English subtitles); Kieâ€¢347;lowski filmography; theatrical trailer; a Kieâ€¢347;lowski trailer gallery. 102 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4184"">DVD 4184Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0074220/"">Credits and other information from the Internet Movie DatabaseЖ"
"Sex Mission (Seksmisja) (1984)","Directed by Juliusz Machulski. Cast: Jerzy Stuhr, Olgierd Ukaszewicz, Bozena Stryjkona, Boguslawa Pawelec, Hanna Stankowna. A science fiction film about the year 2044. Two men, voluntarily hibernated in 1991, are awakened 53 years later to learn that males don't exist anymore. A nuclear war destroyed everything, including men. Women are ruling from the underground. Facing harsh treatment from their female guards, these two men are determined to save themselves and reestablish the male population. 120 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6247"">DVD 6247Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0088083/"">Credits and other information from the Internet Movie DatabaseЖ"
"A Short Film About Killing (Krótki film o zabijaniu) (1987)","Director, Krysztof Kieâ€¢347;lowski. Three strangers in different worlds within a decrepit modern Warsaw unknowingly share a parallel destiny in this movie that deals with an ethical puzzle pitting random coincidence against irresistible fate. The movie employs an arsenal of cinematic imagination to create a portrait of savagery and redemption in life. 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4186"">DVD 4186Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0095468/"">Credits and other information from the Internet Movie DatabaseЖ


Reviews and articles:
â€¢149;Rashkin, Esther. ""Unmourned Dead, Filtered History, and the Screening of Anti-Semitism in Kies'lowski's A Short Film About Killing."" American Imago: Psychoanalysis and The Humanities, vol. 66, no. 3, pp. 311-342, Fall 2009 Ѭ href=""http://muse.jhu.edu/journals/american_imago/v066/66.3.rashkin.html"">Full-text of this article / review is available:Ж



See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#Kie%C5%9Blowski"">Krysztof Kieâ€¢347;lowski bibliographyЖ

"
"A Short Film About Love (Krótki film o milosci) (1987)","Director, Krysztof Kieâ€¢347;lowski. Cast: Grazyna Szapolowska, Olaf Lubaszenko, Stefania Iwinska. Focuses on the lives of two human beings who have been deprived of the gift of love. A young postal worker falls in love with an older woman who lives in the flat opposite his. She attempts to prove to him that ""love"" is nothing more than a set of biological impulses, as a reaction to his voyeurism, and draws him into a game in which neither is the winner. 83 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4187"">DVD 4187Ж","â€¢149;Ѭ href=""http://us.imdb.com/title/tt0095467/"">Credits and other information from the Internet Movie DatabaseЖ


See also:
â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sovietfilmbib.html#Kie%C5%9Blowski"">Krysztof Kieâ€¢347;lowski bibliographyЖ

"
"Siberian Lady Macbeth (aka Fury is a Woman; Sibirska Ledi Magbet) (Poland / Yugoslavia, 1962)","Director Andrej Wajda. Cast: Olivera Markovic, Ljuba Tadic, Miodrag Lazarevic, Bojan Stupica. Shakespearean tragedy collides with film noir in a remote Russian village in this dark fable about the cruel machinations of Katarina, a ruthless woman who will let nothing threaten her affair with a mysterious drifter. In Serbo-Croatian with English subtitles. 93 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3504"">DVD X3504Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:3234"">vhs 999:3234Ж","â€¢149;Ѭ href=""http://us.imdb.com/Title?0055447"">Credits and other information from the Internet Movie DatabaseЖ"
"Squint Your Eyes (Zmruz oczy) (2002)","Director, Andrzej Jakimowski. Cast: Zbigniew Zamachowski, Malgorzata Foremniak, Andrzej Chyra, Olga Proszynska, Rafal Guzniczak, Andrzej Mastalerz. The story of a spirited ten-year-old girl who has run away from her proudly affluent parents in town and finds grudging refuge with the slightly slovenly caretaker of an abandoned farm, an ex-teacher. 92 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9914"">DVD 9914Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0379063/"">Credits and other information from the Internet Movie DatabaseЖ
"
