"Source:","http://www.lib.berkeley.edu/MRC/GayVid.html"
"
Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies

"
"","Gay, Lesbian, Bisexual, Transgender,
"Our House: Lesbians and Gays in the Hood.","A hard-hitting and highly informative look at issues, activism and discrimination in the U.S. from the view points of lesbians and gay men of color. 199?. 60 min. 
""Up front, in your face, hard-hitting interviews with Black Gays and Lesbians provides an uncompromising look at homophobia, racism, alienation and empowerment for Queer African Americans. This riveting documentary gives voice to the multiple identities of gay, women, Black, and the strength inherit in their unity. A new perspective on what is ""Black Enough,"" this video powerfully contextualized gay and lesbian identity within the African American experience."" [from Third World Newsreel (distributor) catalog]","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3312"">Video/C 3312Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Out in Silence / Not a Simple Story","Presents two stories of Asian Pacific Americans, gay and straight, male and female who have gone public about being HIV positive. c1994. 37 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3749"">Video/C 3749Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=153"">Description from Center for Asian American Media catalogЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Queer Latin @ Academics, Arts, and Activisms","Showcases the latest local and national academic, artistic, and activist endeavors by queer latinas. Sponsors: Gender Equity Resource Center, The UC Berkeley Student Opportunity Fund, Chicano/Latino Student Development office, Department of Gender and Women's Studies, The Ethnic Studies Department. Held on ""October 13, 2011 at the Multicultural Community Center at the University of California at Berkeley. 18 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7304"">DVD X7304Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Relocations.","In this exploration of race, gender and sexuality from an Asian American perspective, Japanese American poet David Mura performs four pieces. In scene one, Mura tells the story of this grandfather who immigrated to America, was interned during WWII and later returned to live in Japan. In scene two, Mura portrays a gay Japanese American. In scene three, he relates the eyewitness account of the brutal murder of a Chinese American, Vincent Chin, in Detroit. And in scene four, Mura argues with his video double on whether racism affected his sexuality as a teenager. 1991. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3815"">Video/C 3815Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149;Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=172"">Description from Center for Asian American Media catalogЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Sambal Belacan in San Francisco","Documentary portrays three first-generation Asian lesbians (originally from Singapore) grappling with making a home in America. Produced, directed, written, photographed, edited by Madeleine Lim. c1997. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1198"">Video/C MM1198Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"She Don't Fade.","Shae Clark, played by director Cheryl Dunye, is a black lesbian who is gossipy about her sexuality and her new approach to women. c1991. 24 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2485"">DVD X2485Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3287"">Video/C 3287Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"There is No Name for This (Lian zhe wu ming)","Community-wide discussion was sparked when the Gay Asian Pacific Alliance & Asian Pacific Sisters marched in San Francisco's Chinese New Year Parade. This film incorporates this event and over two dozen interviews to examine the private and public repercussions as Chinese and Chinese American lesbians, gays, and bisexuals come out across cultural and language barriers. Produced and directed by Ming-Yuen S. Ma, Cianna Pamintuan Stewart, and Jessica Yu. c1997. 49 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1109"">Video/C MM1109Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Tiny & Ruby: Hell Divin' Women","This tribute profiles the jazz trumpeter Ernestine""Tiny"" Davis, and her lesbian partner of 40 years, drummer Ruby Lucas (aka Renee Phelan). Includes interviews with Tiny and Ruby in their Chicago home, archival material, lively musical performances, and narration by poet Cheryl Clarke. A film by Greta Schiller. c1988. 28 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4073"">Video/C 4073Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Reviews and articles:","â€¢149;Eaklor, Vicki L. ""Tiny & Ruby: Hell Divin' Women."" Review. The American Historical Review, Vol. 95, No. 4. (Oct., 1990), pp. 1146-1147. Ѭ href=""http://www.jstor.org/browse/00028762/di981889/98p0809r/0?frame=noframe&userID=802071c8@berkeley.edu/01cce4405b00501b5dd90&backcontext=page&backurl=/cgi-bin/jstor/viewitem/00028762/di981889/98p0809r/0%3fframe%3dnoframe%26dpi%3d3%26userID%3d802071c8@berkele"">Full-text of this article / review is available:Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=212"">Description from Center for Asian American Media catalog descriptionЖ","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Toc Storee","Film uses a storytelling format to explore issues of sexuality, tradition and identity in Asian gay contexts. 1992. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3811"">Video/C 3811Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Tongues Untied.","A Film by Marlon Riggs. Derogatory accusations, judgments, and jokes in our culture are met head-on by this video about black, male, and gay identity. Poetry, personal testimony, and drama unite to oppose the homophobia and racism that attempt to split a person into opposing loyalties. Dist.: Ѭ href=""http://www.frameline.org"">FramelineЖ. 1989. 55 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7217"">DVD 7217Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1783"">Video/C 1783Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Tongzhi in Love","Explores the lives of gay men in China and the pressures they face because they are expected to produce children to carry on their family's name. Directed by Ruby Yang. Dist.: Ѭ href=""http://www.cinemaguild.com/"">Cinema GuildЖ. 2008. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2110"">DVD X2110Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"See also:","â€¢149; I Shall Not Be Removed: The Life of Marlon Riggs. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4463"">Video/C 4463Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Two-spirit People: The Berdache Tradition in Native American Culture","Examines the concepts of gender, sexuality, and sexual orientation in Native American cultures, focusing on the tradition of berdaches. Directed, and edited by Michel Beauchemin, Lori Levy, Gretchen Vogel. Dist.: Ѭ href=""http://www.frameline.org/distribution/"">FramelineЖ. 1991. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1207"">Video/C MM1207Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Two Spirits","Examines the role of two-spirit people in the Navajo culture in the context of the story of a gay youth named Fred Martinez. Martinez was a n?adleeh?i or a male-bodied person with a feminine essence, who was murdered in a hate crime at the age of sixteen. Discusses the traditional Native American perspective on gender and sexuality and the need for a balanced interrelationship between the feminine and masculine. Directed by Lydia Nibley. Dist.: Cinema Guild. 2009. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3242"">DVD X3242Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"â€¢149;Awards","â€¢149;American Library Association Video Round Table: Notable Videos for Adults","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"We Got Moves You Ain't Even Heard Of (Part One)","Directed by Erica Cho and Clover Paek. Cast: Clover Paek, Ji Sung Kim, Audrey Luke, Lynne Chan. Obsessed with 80's teen heartthrob Ralph Macchio (aka The Karate Kid), a gay Young Korean American takes a journey into Macchio's pin-up androgyny and Hollywood's all-American underdog fantasies. An experimental film commenting on sexual identity, butch/femme rolls, and Hollywood's orientalism. 1999. 11 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1017"">Video/C MM1017Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"
Ж","Gay, Lesbian, Bisexual, Transgender,
and Intersexual Studies"
"Banlieue Gay","Emir, Mikael, Brahim and Julia discuss the challenges and vexations experienced by gays and lesbians living in Paris. In French without English subtitles. 2005. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2289"">DVD X2289Ж","GLBT People Outside the US"
"Bolo Bolo.","Through interviews, interspersed with images of gay sexual encounters, film explores responses to the AIDS crisis by members of the South Asian community of Toronto, Canada. 1990. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3829"">Video/C 3829Ж","GLBT People Outside the US"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=31"">Center for Asian American Media catalog descriptionЖ","GLBT People Outside the US"
"Butterflies on the Scaffold (Mariposas en el andamio)","A documentary examining the issues gays and transvestites face in the context of evolving attitudes towards homosexuality in Cuba. It is a highly unusual look at how a group of working class drag queens in a Havana suburb have become an integral part of their neighborhood. A film by Margaret Gilpin and Luis Felipe Bernaza. 1995. 74 min. Video/5461","GLBT People Outside the US"
"Dangerous Living: Coming Out in the Developing World.","Explores the lives of gay and lesbian people in non-Western cultures, where most occurrences of oppression receive no media coverage at all. 2005. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4789"">DVD 4789Ж","GLBT People Outside the US"
"Dirty Laundry: A History of Heroes","A history of Chinese who immigrated to Canada and of gay Chinese Canadians. 1996. 31 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4428"">Video/C 4428Ж","GLBT People Outside the US"
"Related web sites:","â€¢149; Ѭ href=""http://distribution.asianamericanmedia.org/browse/film/?i=57"">Center for Asian American Media catalog descriptionЖ","GLBT People Outside the US"
"Dream Girls","Each year thousands of Japanese girls apply to enter the highly disciplined school for the Takarazuka Revue, the incredibly successful musical theater company where women play both male and female roles. This documentary presents a compelling look at this company and phenomenon, and a study on the interplay of gender and sexual identity in Japan today. Directed by Kim Longinotto and Jano Williams. 1994. 50 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6688"">DVD X6688Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7630"">Video/C 7630Ж","GLBT People Outside the US"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc215"">s/c215Ж","GLBT People Outside the US"
"Gay Cuba.","A look at homosexuality in Cuba, featuring interviews with lesbians and gays. A project of the Felix Varela Center of Cuba. Directed by Sonja de Vries. 1995. 57 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4418"">Video/C 4418Ж","Reviews and articles:","GLBT People Outside the US"
"â€¢149; Merrett, Jim. ""Growing up Gay in Castro's Cuba: Exile Raul Ferrera-Balanquet Discovers Himself in his Videos."" Advocate, n579 (June 18, 1991):68 (2 pages).","â€¢149;Morris, Gary. ""Gay Cuba: Beating the Bully"" Bright Lights Journal September 1996 | Issue 17Ѭ href=""http://www.brightlightsfilm.com/17/08a_gaycuba.html"">Full-text of this article / review is available:Ж","GLBT People Outside the US"
"Geja Poeto: Mother Hoshang.","A film about the non-conformist poet, teacher and gay activist Hoshang Merchant, that not only addresses issues on sex but also tries to demystify what it is like to be gay in India. A film by Kathy Maloney. 2004. 26 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3668"">DVD 3668Ж","GLBT People Outside the US"
"A Jihad for love","First feature documentary to explore the complex global intersections between Islam and homosexuality ... The film travels a wide geographic arc presenting us lives from India, Pakistan, Iran, Turkey, Egypt, South Africa and France. Always filming in secret and as a Muslim, filmmaker Parvez Sharma makes the film from within the faith, depicting Islam with the same respect that the film's characters show for it. Special features (interviews and featurettes): Parvez [Sharma] uncut, Muslim talk show, Traveling ""love jihadis,"" More of Mushin, Tahir's Pakistan, Trans in Turkey, An American Muslim. Director, Parvez Sharma. 2007. 81 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4791"">DVD X4791Ж","GLBT People Outside the US"
"Juchitan Queer Paradise","Presents a portrait of Juchitan, a small Mexican city near the Guatemalan border where homosexuality is fully accepted. The film profiles three gay people: a teacher, a hairdresser and a shop owner. The society is also unique as the population of Zapotec Indians resist the homogeneous trends of globalization. While Indian languages are endangered everywhere else in the world, in Juchitan, the Zapotec language is spoken proudly at home, at municipal meetings, in poetry, song and theatre. A film by Patricio Henriquez. 2002. 64 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9822"">Video/C 9822Ж","GLBT People Outside the US"
"Related web sites:","â€¢149;Ѭ href=""http://www.filmakers.com/index.php?a=filmDetail&filmID=1210"">Description from Filmakers Library catalogЖ","GLBT People Outside the US"
"Looking for a Space: Lesbians & Gay Men in Cuba.","A documentary film examining the treatment of lesbians and gay men during the early years of the Cuban Revolution and perspectives of current residents of Cuba on questions of political ideology and sexual identity. Dialogue in Spanish with English subtitles. Producer/director, Kelly Anderson. 1993. 38 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3202"">DVD X3202Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3592"">Video/C 3592Ж","GLBT People Outside the US"
"Related web sites:","â€¢149; Ѭ href=""http://filmakers.com/index.php?a=filmDetail&filmID=563"">Description from Filmakers Library catalogЖ","GLBT People Outside the US"
"Mexican Refugee","Five stories, told by LGBT Mexican refugees in Canada, reveal their struggle for social justice and attempts to humanize the lives of refugees. The film also shows the difficulties refugees face from government policies. Directed by Alex Flores. Presented at the International Latino Film Festival held in the San Francisco Bay Area. 2005. 37 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3733"">DVD X3733Ж","GLBT People Outside the US"
"Mujeria: Primitive and Proud","An historical survey of Olmec women, including still photographs of Olmec antiquities, and the significant role of lesbianism among Olmec women then and now. 1992. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7750"">Video/C 7750Ж","GLBT People Outside the US"
"Orientations.","Directed by Richard Fung, looks at gay Asians in Toronto, Canada. More than a dozen gay men and lesbian women of different Asian backgrounds speak frankly about their lives as members of a minority within a minority. This group's commitment and outspokenness challenge the stereotype of passive Asians. 199?. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3757"">Video/C 3757Ж","GLBT People Outside the US"
"Out in South Africa","A look at the social and political conditions for gay and lesbian people in present-day South Africa. Features interviews and historical background on the country's transformation into an open society for gay people. Directed, and edited by Barbara Hammer. c1994. 51 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9133"">Video/C 9133Ж","GLBT People Outside the US"
"Related web sites:","â€¢149;Ѭ href=""http://wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc2"">s/c2Ж","GLBT People Outside the US"
"Piku if fine (Piku bhalo aachhey)","A docu-drama revolving around the struggles and feelings of Piku, a gay man living in Calcutta. The film focuses on lesbian, gay, bisexual and transgender people and attempts to break down conventional constructs of normality and abnormality. Story, script & direction, Tirthankar Guha Thakurata. 2004. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7382"">DVD 7382Ж","GLBT People Outside the US"
"Sunflowers.","An exploration of the sexual identity of a group of gay men in a rural Philippine village, who perform in drag as The Sunflowers during the town's annual Christian festival. The Sunflowers discuss their childhoods, coming out issues, and their relationships with ""straight"" men in the community. Written, produced, directed and narrated by Shawn Hainsworth. 50 min. c1997. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM770"">Video/C MM770Ж","GLBT People Outside the US"
"Two to Tango: Gay Argentina","Buenos Aires is in the heart of a country where 80% of the people are Catholic and the culture of machismo is still rife. Now the Argentine capital is leading the push in Latin America for gay rights. This film introduces Esteban Hubner and Leonardo Gorosito, who are are getting married in a civil ceremony. The introduction of such civil unions has met with opposition from the Church. 2005. 17 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5932"">DVD 5932Ж","GLBT People Outside the US"
"Related web sites:","â€¢149;Ѭ href=""http://www.filmakers.com/index.php?a=filmDetail&filmID=1369"">Description from Filmakers Library catalogЖ","GLBT People Outside the US"
"Woubi Châ€¢233;ri. (France | Ivory Coast, 1998)","Directors: Laurent Bocahut and Philip Brooks. Woubi Cheri is the first film to give African homosexuals a chance to describe their world in their own words. Often funny, sometimes ribald, but always real, this documentary introduces gender pioneers demanding their right to construct a distinct African homosexuality. 62 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6503"">DVD X6503Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6312"">Video/C 6312Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0210390/"">Credits and other information from the Internet Movie DatabaseЖ

Reviews and articles:","GLBT People Outside the US"
"â€¢149;Crapo, Richley. ""Woubi Cheri."" American Anthropologist. Mar 2000. Vol. 102, Iss. 1; p. 154 (2 pages) Ѭ href=""http://proquest.umi.com/pqdweb?did=52580030&sid=15&Fmt=4&clientId=1566&RQT=309&VName=PQD"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Migraine-george, Thâ€¢233;râ€¢232;se. ""Beyond the 'internalist' vs. 'externalist' debate: the local-global identities of African homosexuals in two films, Woubi Châ€¢233;ri and Dakan."" Journal of African Cultural Studies, Jun2003, Vol. 16 Issue 1, p45-56, 12 p. Ѭ href=""http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=12021304&site=ehost-live"">Full-text of this article / review is available:UC users onlyЖ","â€¢149;Petty, Sheila. ""Insight into a gay African world."" Visual Anthropology; 2000, Vol. 13 Issue 4, p431-432, 2p","GLBT People Outside the US"
"
Ж","GLBT People Outside the US"
"100% Woman.","A post-operative transsexual, Michelle Dumaresq, has provoked outrage by entering the sport of women's mountain bike racing. The program explores complex issues of gender identity surrounding the controversy and manifested in Dumaresq's personal and professional relationships. Includes commentary from her parents and interviews with Michelle, friends, and rival cyclists. Director, Karen Duthie. 2004. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4487"">DVD 4487Ж","Transexuality, Intersexuality, and Gender Mutability"
"Almost Myself: Reflections on Mending and Transcending Gender","What happens when a young gay man, struggling not only with his sexuality but also gender, decides to have surgery to become a female, and later in life decides to return to being a gay man again? Can someone live their life full time as a female, but still have a penis? What's life like for a former male college football player, finally living her life as the woman she was always meant to be? These are just some of the stories told in the fascinating, poignant, and informative documentary. The film focuses primarily on women who are white and older, yet were identified as male at birth. The stories include journeys of boyhood to womanhood and the struggles of mending and transcending gender. Special features: Bonus material : additional director comments ; scenes from 2005's West Hollywood Day of Remembrance & Rally ; ""Road To Trinidad"" music video by Georgie Jessup ; previews. Director/producer, Tom Murray. c2007. 82 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4057"">DVD X4057Ж","Transexuality, Intersexuality, and Gender Mutability"
"Assume Nothing","Artistic expression of alternatively gendered peopleâ€¢8217;s lives reveals a captivating world where gender cannot be defined as simply male or female. This program features New Zealand photographer Rebecca Swan and her images for ""Assume Nothing,"" a book that explores the beauty and complexity of gender identity. Four of Swanâ€¢8217;s subjects speak candidly about their own gender identities and experiences, focusing on their creative expression as artists. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж c2009. 80 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2956"">DVD X2956Ж","Transexuality, Intersexuality, and Gender Mutability"
"Black and White","In a small New Zealand hospital in 1953, the birth of Mani Bruce Mitchell caused a mild pandemonium. Fifty years later, this film interweaves the stories of this intersex activist and the acclaimed photographer Rebecca Swan, exploring their potent creative collaboration. This fascinating documentary introduces viewers to notions of fluid gender identity, challenging the rigid categories of 'male' and 'female'. Produced and directed by Kirsty MacDonald. 2006. 17 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7916"">DVD 7916Ж","Transexuality, Intersexuality, and Gender Mutability"
"Related web sites:","â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc697"">s/c697Ж","Transexuality, Intersexuality, and Gender Mutability"
"The Blank Point: What Is Transsexualism?","Examines the widely misunderstood nature of transsexuals--people who psychologically identify with the opposite sex and who sometimes decide to undergo sex reassignment surgery--and offers meaningful insights into this rare condition. The program focuses on two male-to-female transsexuals and one female-to-male transsexual. The subjects candidly discuss their old identities, the transition to their new lives and the scientific and psychological process that enables them to change genders. c1990. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6199"">Video/C 6199Ж","Transexuality, Intersexuality, and Gender Mutability"
"Boy I Am","Follows the transitions of Nicco, Norie and Keegan, three young New Yorkers from different race and class backgrounds, as they prepare and undergo female to male transition surgery. Reveals the conflict over the place of trans-males within the lesbian community. A film by Sam Feder and Julie Hollar. 2006. 68 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6352"">DVD 6352Ж","Transexuality, Intersexuality, and Gender Mutability"
"The Brandon Teena StoryЖ","Documentary film about Brandon Teena, who arrived in rural Falls City, Nebraska, in 1993 where his charm won him several friends in town. But on Christmas Eve Brandon was brutally raped and beaten, and then, a week later, murdered along with two other people, when his friends became enraged when they discovered that he was actually a woman. This is a tale of Brandon's coming of age struggle with identity and how his gender ambiguity induced feelings of betrayal, confusion and hostility among residents of a town in America's heartland. A film by Susan Muska and Greta Olafsdottir. 1998. 90 min. 
â€¢149; American Library Assn. Video Round Table Notable Videos winner
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6125"">Video/C 6125Ж","See also:","Ѭ href=""http://www.lib.berkeley.edu/MRC/gaydocbib.html#teena"">See separate bibliography of reviews and articles about this filmЖ","Transexuality, Intersexuality, and Gender Mutability"
"Colonel Jing Xing: A Unique Destiny","Depicts the world of Jin Xing as a dancer, choreographer, colonel in the People's Liberation Army and the first to have a sex change operation in China. Directed by Sylvie Levey ; produced by Arnaud Hamelin. c2001. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6941"">DVD X6941Ж","Transexuality, Intersexuality, and Gender Mutability"
"Related web sites:","â€¢149; Ѭ href=""http://filmakers.com/index.php?a=filmDetail&filmID=1233"">Description from Filmakers Library catalogЖ","Transexuality, Intersexuality, and Gender Mutability"
"Cruel and Unusual","Examines the realities faced by transgender women in mens' prisons. Ashley, Linda, Anna, Yolanda and Ophelia describe their experiences including rape, violence, solitary confinement and denial of medical care. Their difficult stories challenge the most basic notions of gender and justice while raising an important question: Is their treatment indeed cruel and unusual -- a violation of the Eighth Amendment of the U.S. Constitution? A documentary film by Janet Baud, Dan Hunt, and Reid Williams. c2006. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6528"">DVD 6528Ж","Transexuality, Intersexuality, and Gender Mutability"
"Diagnosing Difference","A documentary film featuring thirteen transgender and genderqueer scholars, artists, and activists discussing the impact and implications of the Gender Identity Disorder diagnosis on their lives and communities. Directed by Annalise Ophelian c2009. 64 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X5071"">DVD X5071Ж","Transexuality, Intersexuality, and Gender Mutability"
"Dream Girls","This fascinating documentary, produced for the BBC, opens a door into the spectacular world of the Takarazuka Revue, a highly successful musical theater company in Japan. Each year, thousands of girls apply to enter the male-run Takarazuka Music School. The few who are accepted endure years of a highly disciplined and reclusive existence before they can join the Revue, choosing male or female roles. Dream Girls offers a compelling insight into gender and sexual identity and the contradictions experienced by Japanese women today. 1994. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7630"">Video/C 7630Ж","Transexuality, Intersexuality, and Gender Mutability"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Women Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc215"">s/c215Ж","Transexuality, Intersexuality, and Gender Mutability"
"Folklore of the Transgender Community in Tamil Nadu","Documentary on life cycle ceremonies of transgendered people in Tamil Nadu, India. 2007. 39 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2611"">DVD X2611Ж","Transexuality, Intersexuality, and Gender Mutability"
"Gender Redisigner","This documentary about gay life in rural Pennsylvania quickly transforms into another type of journey as the lead interviewer in the film begins efforts to transition from female to a male. Facing a series of challenges -- financial, familial, cultural and physical, his personal strength and supportive network serve as clear resources in the transitioning process. Follows him through five years as he navigates the transformation with hormone treatment and a double mastectomy. Presents a revealing exploration of the complex links between biological sex, gender construction, sexual orientation/identity, and gender passing or blurring. A Johnny Bergmann film. 2007. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2996"">DVD X2996Ж","Transexuality, Intersexuality, and Gender Mutability"
"Gendernauts: A Journey Across the Great Gender Divide.","Documents the female-to-male (F2M) transgender cyber-community in San Francisco presenting a personal view of people who alter their bodies and minds with new technologies and chemistry, with an amphasis on biological women who use the male hormone Testosterone. Written, directed and produced by Monika Treut. 2000. 82 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5002"">DVD 5002Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9262"">Video/C 9262Ж","Transexuality, Intersexuality, and Gender Mutability"
"Girl Inside","Follows Madison during three years of her transition from male to female, raising issues about the nature of gender, femininity, and sexuality. Girl Inside highlights Madison's loving relationship with her 80-year-old grandmother. Their discussions together further illustrate the complex set of questions and issues surrounding the choices faced by transsexuals. Written and directed by Maya Gallus. 2007. 70 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9942"">DVD 9942Ж","Transexuality, Intersexuality, and Gender Mutability"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc708"">s/c708Ж","Transexuality, Intersexuality, and Gender Mutability"
"Hermaphrodites Speak","This film covers a meeting of intersexed people at the first retreat of the Intersex Society of North America. Seven participants, two assigned as men and four as women, and one individual who identifies as neither male or female but as a third gender, tell their stories of growing up intersexed and their feelings of social isolation. They express resentment towards the medical establishment and the current standard medical treatment for hermaphroditic children. Presented by ISNA, Intersex Society of North America, 1997. 34 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8089"">DVD 8089Ж","Transexuality, Intersexuality, and Gender Mutability"
