"Source:","http://www.lib.berkeley.edu/MRC/pomo2.html"
"
Experimental and Avant Garde Artists, Performers, and Film Makers

Ж
"
"Contents - this page:
","â€¢149; Ѭ href=""#theater"">Theater and Performance ArtЖ","â€¢149; Artists A-I


","

[Click on a Name]
Marina Abramovic
Vito Acconci
Kathy Aker
Laurie Anderson
Ant Farm
John Baldessari
Matthew Barney
Julian Beck
Lynda Benglis
Bread and Puppet Theater
Peter Brook
Chris Burden
Burning Man Festival
David Byrne
John Cage
Peter Campus
DV8
Valie Export
Karen Finley
Fluxus
Richard Foreman
Joanna Frueh
Coco Fusco
Guillermo Gomez-Peña
Spalding Gray
Lynn Hershman
Gary Hill
Nancy Holt
Jenny Holzer
Bill Irwin

","â€¢149; Artists J-Z


","

[Click on a Name]
Joan Jonas
Allan Kaprow
Last Poets
Elizabeth LeCompte
Living Theater
James Luna
Mabou Mines
Dwight Marcus
Gordon Matta-Clark
Taylor Mead
Ana Mendieta
Meredith Monk
Linda Montano
Charlotte Moorman
Bruce Nauman
Claus Oldenburg
Yoko Ono
Open Theater
Nam June Paik
Ray Gun Theater
Martha Rosler
San Francisco Mime Troupe
Carolee Schneemann
Peter Sellars
Societas Raffaello Sanzio
Survival Research
Ulay
William Wegman
Robert Whitman
Hannah Wilke
Robert Wilson
Wooster Group

","â€¢149; Ѭ href=""#music"">Music/SoundЖ","â€¢149; Ѭ href=""#dance"">DanceЖ","â€¢149; Ѭ href=""#other"">OtherЖ","â€¢149; Art/photography SEE Ѭ href=""http://www.lib.berkeley.edu/MRC/Artvid.html"">MRC Art/Photography videographyЖ","Experimental and Avant Garde Artists, Performers, and Film Makers"
"Bloody Mess","Cast: Robin Arthur, Davis Freeman, Wendy Houstoun, Jerry Killick, Richard Lowdon, Claire Marshall, Cathy Naden, Terry O'Connor, Bruno Roubicek, John Rowley. Trouble seems inevitable from the outset of this performance, when each actor confides in the audience about how he or she would like to be seen during the show -- rivalries, contradictions and complete incompatibility seem to rule the day. Created in the year of the company's 20th birthday, this epic for 10 performers creates a startling logic from the collisions of disconnected characters, stories and performances. Recorded at Riverside Studios, London & Project Arts Centre, Dublin, November 2004. 138 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4379"">DVD X4379Ж","â€¢149;Forced Entertainment Company."
"Out of the Body Travel","A ""young woman who finds herself surrounded by therelics of Western culture"" is the starting point forthis stylized theatrical tableaux of people andobjects. The coupling of language and image, male andfemale, the self and the other results in an evocativeand sometimes erotic series of tensions. Disruptivedevices--loud buzzers, disjunctive images--repeatedly interrupt the tape's highly orderedcompositions and linguistic structure. 42 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4686"">Video/C 4686Ж","â€¢149;Richard Foreman"
"Mouth Piece","Contents: Excerpts from: Femininity / Susan Brownmiller -- Greatmother / Erich Neumann -- Feminist practice &poststructuralist theory / Chris Weedon -- Joy's way /W. Brugh Joy -- State of the art / Arthur C. Danto --New French feminisms / Elaine Marks, Isabelle deCourtivron -- Face value / Robin Tolmach Lakoff,Raquel L. Scherr.
A monologue performed by Joanna Frueh concerningfeminist views, male and female relationships andsocial perceptions of women. 1992. 56 min. 

Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5252"">Video/C 5252Ж","â€¢149;Joanna Frueh"
"La Conversacion","Coco Fusco, Guillermo Gomez-Pena. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7697"">Video/C 7697Ж","â€¢149;Coco Fusco"
"The Couple in the Cage: a Guatinaui Odyssey","Directed and produced by Coco Fusco and Paula Heredia; Performers: Guillermo Gomez-Peña, Coco Fusco. Color sequences of the display in various museums of performance artists portraying an aboriginal couple from Gautinau (a fictional island off the coast of Mexico) are contrasted with archival footage and still photographs showing various occasions when indigenous persons were put on public display at circuses, sideshows and the like. Emphasis is placed on the response of the people viewing the Gautinaui couple. c1993. 31 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6865"">DVD 6865Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4785"">Video/C 4785Ж","â€¢149;Coco Fusco"
"Eu gosto de garotas de uniforme (Me gustan chicas en uniforme) (I like girls in uniform)","Extras. Performances (66:21 min.) -- Bare life study #1, Sao Paulo, 2005 (9:14 min.) -- Statements. Bare life study #1 (4:20 min.) ; a/k/a Mrs. george Gilbert (17:50 min.) ; Dolores from 10 to 10 (12:31 min.) ; Els segadors (15:15 min.) ; Rights of passage (4:56 min.) ; Maiakovskii (2:16 min.) Filmmaker Wagner Morales borrows elements from the work of American artist Coco Fusco, fusing them with ordinary fragments of her everyday life, to introduce viewers to the complex realm of Fusco's artistic practices and theories. In this documentary film, Fusco revisits her trajectory as professor, activist, performer and videomaker, and discusses culture clash, a recurring issue in her personal experience. Bonus films (ca. 66 min.) include statements on her well-known works and films of her performances. 2005. 115 min.  Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9527"">DVD 9527Ж","â€¢149;Coco Fusco"
"Gob Squad's Kitchen: You've Never Had it So Good)","Inspired by Andy Warhol's 1965 film ""Kitchen"" in which the actors, who included Edie Sedgwick, sometimes performed a script and were sometimes simply themselves. The actors talk about sex, attempt to snort lines of coffee, eat layer cake and dance. We never see any of this directly, but only how it is projected on to a screen. Sometimes the performers walk in front of the screen and become part of the audience; sometimes members of the audience become part of the movie, perhaps taking part in a screen test or providing a live homage to Warhol's Sleep. Originally performed as a play and filmed at Nottingham Playhouse, June 2007. 95 min.  Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4378"">DVD X4378Ж","â€¢149;Gob Squad"
"Border Brujo","Border Brujo sitting at an altar decorated with a kitsch collection of cultural fetish items, and wearing a border patrolman's jacket decorated with buttons, bananas, beads, and shells, presents a performance which addresses the problems, frustrations, discrimination, and stereotyping commonly faced by Mexican-Americans in the U.S. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 52 min. 1990.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3455"">Video/C 3455Ж","â€¢149;Guillermo Gomez-Peña"
"Borderstasis, A Video Diary","A poetic performance video diary about the impossibility of ""revealing"" one's self in stormy times such as ours. It reflects the intricate connections between performance and everyday life, exploring language, identity, love, nostalgia and activism amidst the California apocalypse. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 1998. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"La Conversacion","Coco Fusco, Guillermo Gomez-Peña. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7697"">Video/C 7697Ж","â€¢149;Guillermo Gomez-Peña"
"The Couple in the Cage: a Guatinaui Odyssey","Directed and produced by Coco Fusco and Paula Heredia; Performers: Guillermo Gomez-Peña, Coco Fusco. Color sequences of the display in various museums of performance artists portraying an aboriginal couple from Gautinau (a fictional island off the coast of Mexico) are contrasted with archival footage and still photographs showing various occasions when indigenous persons were put on public display at circuses, sideshows and the like. Emphasis is placed on the response of the people viewing the Gautinaui couple. c1993. 31 min.  ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6865"">DVD 6865Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4785"">Video/C 4785Ж","â€¢149;Guillermo Gomez-Peña"
"A Declaration of Poetic Disobedience","A video version of a 2004-05 performance that attempts to find a post-9/11 voice and place for alternative viewpoints and radical imaginations. The performance maps out a poetic cartography in order to establish symbolic connections between the artist's psyche, body, language, dreams and aspirations, and those of his contemporaries. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 2005. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"The Great Mojado Invasion, Part 2 the 2nd U.S.-Mexico War","The video begins at the inception of a second U.S.-Mexico war. This time, contrary to history, Mexico is victorious. The nation-state as we currently know it has collapsed. The ex-U.S. of A. has been fragmented into a myriad of micro-republics loosely controlled by a multi-racial junta and governed by a Chicano prime minister appointed as El Gran Vato. ""Spanglish"" is the official language, treating the monolingual viewer as a ""nomadic minority."" Panicked by the ""New Borders,"" Anglo militias desperately try to recapture the ""Old Order."" The ""New Aztlan Regime"" propagandizes itself by satirically depicting Anglos with the same stereotypes currently utilized against Latinos: a portrayal of dumb, lazy, violent, drug-taking lunatics who are demonized as ""alien"" invaders from outer space. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 1995. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"El Naftazteca: Cyber-Aztec TV for 2000 A.D.","Interrupting the nightly news in an act of guerrilla television, Gomez-Peña returns to the persona of a Chicano-Aztec veejay to elaborate the complications of American identity. This post-NAFTA Cyber Aztec pirate commandeers the television signal from his underground ""Vato bunker"", where virtual reality meets Aztec ritual. Gomez-Peña embodies the doubly radical Chicano performance artist, delivering radical ideas through a radical form of entertainment. With guest performances by Roberto Sifuentes and Ruben Martinez. Edited version of the live telecast. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 1995. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"La Pocha nostra en accion: Performance as Radical Pedagogy. The Brown Sheep Project","In 2002, La Pocha Nostra and Guillermo Gomez-Peña; were invited to conduct a workshop at Columbia College in Chicago with 15 students and faculty from different departments. At the end of the two-week workshop, they created a large-scale performance-installation with the participants. Canadian video artist Liz Singer was invited to shoot the entire process, from the early workshop exercises, meant to connect students with their bodies and build a sense of community, up to opening night. In this documentary the working methods and radical pedagogy of La Pocha Nostra are revealed. Performed by Gomez-Peña; an Isaac Artenstein film. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 2003. 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"La Pocha nostra en accion: Performance as Radical Pedagogy. No Homeland/No Fear","Made from the outtakes of a PBS-commissioned documentary on ""Latino arts"" in the United States. Features ""Re:Group,"" a loose association of San Francisco-based performance artists who created ""a multi-ethnic/multi-generational performance lab"" in response to the perils of 9/11 and the dangers of the Bush era. Performed by Gomez-Peña; an Isaac Artenstein film. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 2004. 13 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"Son of Border Crisis","Monologues: 1. Son of border crisis -- 2. El post-mojado -- 3. The Mexican fly -- 4. Dear Californian -- 5. Employer sanctions -- 6. The year of the yellow spider -- 7. The year of the Hispanic. In these seven short performance art monologues, Gomez-Peña confronts Mexican-American culture clashes, stereotypes, and immigrants. Speaking through a bullhorn or on the airwaves of mock-station Radio Latino FM, he broadcasts a message that will not be silenced. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж. 2003-1990. 16 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"The Temple of Confessions","This itinerant performance/installation presented two ""end-of-the-century saints"" from an ""unknown border religion"", in search of sanctuary across the United States while gathering confessions on intercultural fears and desires. Designed as a theater of mythos and cultural pathologies, the ""Temple"" proposes a ceremonial space for the reflection on ethnic, racial, and gender prejudices. It is divided in three main areas: the ""Chapel of Desires"", displaying ""El Pre-Columbian Vato"" or ""holy gang member"" (performed by Roberto Sifuentes); the ""Chapel of Fears"", displaying ""San Pocho Aztlaneca"" (a ""hyper-exoticized curio shop shaman for spiritual tourists,"" performed by Guillermo Gomez-Peña), and an enigmatic funerary vignette composed by performance objects. Paintings of other ""hybrid santos"" hang from the walls, two ""nuns"" (""chola/nun"" Norma Medina and ""dominatrix nun"" Michelle Ceballos) take care of the temple, and visitors can leave their ""confessions""; the most revealing ones are incorporated into the installation soundtrack for future performances. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж. 2003-1990. 16 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"Los videograffitis","Guillermo Gomez-Peña invited film and video-maker colleagues from around the world to re-envision his own performance works through a collaborative editing process. This segment contains ten performance videos selected from Ethno-techno: los videograffitis, volume one of the series. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж. 2003-2004. 29 min.  Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9667"">DVD 9667Ж","â€¢149;Guillermo Gomez-Peña"
"Swimming to Cambodia","A comic saga of the making of an epic war film including 66 takes of the first scene, a jarring encounter with Thai marijuana and the denizens of Asian massage parlors and sex bars. Directed by Jonathan Demme; produced by R.A. Shafransky; written and performed by Spalding Gray. 85 min. ; 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7268"">DVD X7268Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+999:1029"">Video/C 999:1029Ж","See also:","â€¢149;Spalding Gray"
"â€¢149; Ѭ href=""#performance"">Performance: The Living ArtЖ","â€¢149;Ѭ href=""#poetryinmotion2"">Poetry in Motion 2Ж","â€¢149;Ѭ href=""#truestories"">True StoriesЖ","â€¢149;Spalding Gray"
"There, There Square","The desire to own and name land and the pleasures of seeing from a distance color this personal survey of the history of mapmaking in the New World. Takes a close look at the gestures of travelers, mapmakers, and saboteurs that determine how we read - and live within - the lines that define the United States. Dist.: Ѭ href=""http://www.vdb.org"">Video Data Bank.Ж 14 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6377"">DVD 6377Ж","â€¢149; Jacqueline Gross"
"Cut Piece: A Video Homage to Yoko Ono.","Cut piece is a performance piece originally written and performed by Yoko Ono in 1964. In this video recreation three female performers dressed in fine party dress kneel in center stage and place a pair a scissors in front of themselves. Members of the audience come up on stage and begin to cut pieces of the performer's clothing. This continues until a performer says stop or until there isn't any more cloth to cut. 16 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2735"">Video/C 2735Ж","â€¢149;Lynn Hershman"
"â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#Hill"">See Experimental/Avant Garde FilmmakersЖ","â€¢149;Gary Hill"
"See also:","â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/pomo.html#firstdecade"">Surveying the First Decade: Video Art and Alternative Media in the U.S.Ж","â€¢149;Nancy Holt"
"East Coast, West Coast.","Artists Nancy Holt and Robert Smithson, a married couple until Smithson's death in 1973, filmed their 1969 discussion of contrasting lifestyles and approaches to artistic creation. Smithson championed a relatively loose, free-wheeling approach while Holt argued for a greater degree of order and conceptualization in life and art. (Purchased with Stuart and Gail Buchalter Fund for the Study of Contemporary Art.) Dist.: Ѭ href=""http://www.vdb.org"">Video Data BankЖ. 23 min. 1969. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5150"">Video/C 5150Ж","â€¢149;Nancy Holt"
"Going Around in Circles","With: Jim Braddick, Stephen Button, Nancy Holt, Bruce Kurtz, Tom Litrin, John Miller, Peter Napoli. Going Around In Circles continues Holt's interest in perception and point of view. A board with five circular holes is placed in front of the camera. The holes are covered and uncovered to reveal five people enacting a set of activities that involves walking between five spots and turning in circles. A discussion takes place between the artist and several of the ""performers"" which addresses the various physicalities of the action: the experience of being on the ground, watching the actions take place through the prop, and through the playback monitor, as well as notions of scale, and the chance happenings that take place within any system. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 1973. 15 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1168"">Video/C MM1168Ж","â€¢149;Nancy Holt"
"Mono Lake","Featuring film footage and slide images of artists Robert Smithson, Michael Heizer and Nancy Holt as they visited California's Mono Lake in July of 1968, this piece was edited by Holt in 2004. Mono Lake candidly captures the young artists as they explore the haunting landscape of one of the oldest and most distinctive lakes in North America. Heizer and Smithson are heard reading facts about the unique ecology, geology and natural phenomena of this alkaline lake; filmed against images of the beauty of the lake's natural environment. A ""home movie"" of the artists' 1968 road trip, and an intimate view of three seminal figures in the earth art movement as they interact with the Western landscapes that are so central to their work. Produced and edited by Nancy Holt; sound track readings, Michael Heizer, Robert Smithson. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 28 min. 1968. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5150"">Video/C 5150Ж","â€¢149;Nancy Holt"
"Pine Barrens","Pine Barrens is concerned with evoking through film a barren wilderness in south-central New Jersey. The camera is always in motion -- tracking, pivoting, and walking through the landscape. Though they are never seen in the film, the voices of the local people, the 'Pineys,' are heard relating their feelings about the land, their attitudes about city life, their myths of the area, etc. their voices and the music of 'Bill Patton's Pine Barrens Trio' add a psychological dimension to the landscape. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 30 min. 1975. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1194"">Video/C MM1194Ж","â€¢149;Nancy Holt"
"Points of view: Clocktower","A video that originated with an installation at the Clocktower in New York in May 1974. In the installation, four monitors were placed facing out N,E,S,W at eye level in the center of the room. Four tapes, previously shot from the four windows through a static camera with a movable circular tube in front of the lens, were played back simultaneously on all four monitors, revealing passing circular glimpses of the world outside. So the outside was brought inside through video, and this inside 'looking' led to a recomposition of video (a double take) when the actual outside was confronted. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts IntermixЖ. 44 min. 1974. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1192"">Video/C MM1192Ж","â€¢149;Nancy Holt"
"Sun Tunnels","Documents the making of Holt's major site-specific sculptural work in the northwest Utah desert. Completed in 1976, the sculpture features a configuration of four large concrete tubes or ""tunnels"" that are positioned to align with the sunrise and sunset of the summer and winter solstices. With stunning footage of the changing sun and light as framed by the tubes, Sun Tunnels calls attention to human scale and perception within the vast desert landscape. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 1978. 27 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1191"">Video/C MM1191Ж","â€¢149;Nancy Holt"
"Swamp","A film by Nancy Holt and Robert Smithson. This is an unedited exploration of a swamp, with unedited audible camera direction. It is as much an exploration of camera work as of the swamp environment. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж c1971. 6 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1190"">Video/C MM1190Ж","â€¢149;Nancy Holt"
"Underscan","Holt's terrain is her Aunt Ethel's home in New Bedford, Massachusetts, presented in still images and excerpts from letters to the artist from her aunt. Holt pays particular attention to her aunt's story of aging, altering the images by ""underscanning"" them, a technical process that compresses the edges of the video image, building an intrinsic limitation into the tape: the compression of time and personal history represented by the images and narrative. This process echoes Holt's reading, slightly distorting and compressing the information in the letters as she presents them. Dist.: Ѭ href=""http://www.eai.org"">Electronic Arts Intermix.Ж 1973-74. 21 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1190"">Video/C MM1190Ж","â€¢149;Nancy Holt"
"Sign on a Truck","Jenny Holzer's 1984 presidential election eve projectutilized a truck equipped with a sound system and an18-foot Diamond Vision electronic board that displayedimages, statements, and ""man-on-the-street""interviews. Presents a tightly edited version of theart, texts, and interviews that occurred during theday. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8783"">Video/C 8783Ж","â€¢149; Jenny Holzer"
"Televised Texts","From the American artist and poet Jenny Holzer, presents28 ""Italian language spots"" and 24 ""English languagespots"" consisting of visual and spoken epigrams, each7-12 seconds long. 27 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8784"">Video/C 8784Ж","â€¢149; Jenny Holzer"
"As Seen On TV","Performer: Actors/performers, Anna Levine ... [et al.] ; guest artists courtesy of Henson Associates, Joffrey Ballet.
New vaudevillian"" performance artist, Bill Irwin, plays a hapless Everyman who inadvertently becomes trapped inside a television set. In this physical comedy that has been likened to a contemporary rendering of Chaplin's Little Tramp, Irwin wanders, baffled, through the television space, caught in the flow of televised soap operas, commercials, sitcoms and ballets.1988. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4683"">Video/C 4683Ж","â€¢149;Bill Irwin"
"The Regard of Flight (Clown Bagatelles)","Performers: Bill Irwin, Doug Skinner, Michael O'Connor.In this humorous critique of the ""new theatre,"" Bill Erwin, clown, mime, dancer and satirist performs as a hapless everyman combining gags, dance routines and sketches to dramatize the frustration of the entertainer whose wish to entertain his audience is continually beset by trials. Originally broadcast on the PBS television program: Great performances. 59 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7394"">Video/C 7394Ж","â€¢149;Bill Irwin"
"Duet","In this seminal exploration of the phenomenology of video as a mirror and as a ""reality,"" Jonas, face-to-face with her own recorded image, performs a duet with herself in this classic early video. 1972. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM974"">Video/C MM974Ж","â€¢149;Joan Jonas"
"Glass Puzzle","This complex and enigmatic work, which is performed by Jonas and Lois Lane, explores female gestures, poses, the body and narcissism. Mirroring each other with synchronized movements as they perform as alter-egos, Jonas and Lane reference archetypal female gestures and poses from popular and traditional cultures. This evocative personal theater is a quintessential Jonas work with its idiosyncratic vocabulary of gestures, ritual and symbolism. 1973. (Purchased with Stuart and Gial Buchalter Fund for the Study of Contemporary Art) 18 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5234"">Video/C 5234Ж","â€¢149;Joan Jonas"
"Mirage","Writes Jonas: ""For Mirage, I made a film of drawing,again and again, images on a blackboard, and thenerasing them. I got an idea to use drawings, which Icalled ""Endless drawings"" after those described in theMelukean Book of the Dead, the tribal ritual book ofNew Guinea,"" which says that in order to go from oneworld to the next you must finish a drawing in sand."" 1976. 31 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM128"">Video/C MM128Ж","â€¢149;Joan Jonas"
"Point of View: An Anthology of the Moving Image: Joan Jonas","Contents: Video: Waltz / Joan Jonas (7 min., 2003) -- Interview (2003) -- Image gallery -- biography. In Waltz, a filmed performance piece created by the American artist Joan Jonas, she pays homage to 18th century French outdoor theater, incorporating mythology into the narrative alongside spontaneously occurring events. Film is followed by an in-depth interview with the video artist. Produced by Bick Productions, Ilene Kurtz-Kretzschmar and Caroline Bourgeois and the New Museum of Contemporary Art, New York. Published on the occasion of the exhibition at the New Museum of Contemporary Art in New York City, February 27-May 2, 2004. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2424"">DVD 2424Ж","â€¢149;Joan Jonas"
"Songdelay","Performed with a cast that includes Gordon Matta-Clark,Jonas choreographs a theater of space, movement andsound with the urban landscape of New York in afeatured role. This early classic performanceresonates with themes and strategies that recur throughout Jonas' later performance works. Originally produced as a film in 1973. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM130"">Video/C MM130Ж","â€¢149;Joan Jonas"
"Volcano Saga: Iceland, 1985.","Based on the thirteenth century Icelandic Laxdaela Saga, this narrative reverie is a retelling of a medieval myth about a young woman whose dreams foretell the future. Shot in the dramatic natural landscapes of Iceland and in New York, this performance-based work uses ancient dream analysis as a starting point for a densely textured tale, in which the young woman's interpreter hears her dreams and sees their meaning. A surrealistic ambience is created by the use of multi-layered digital effects, ghostly overlays, other-worldly images and the mythical text. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4680"">Video/C 4680Ж","â€¢149;Joan Jonas"
"Vertical Roll","Using the technique of a continuous vertical roll, Jonas constructs a theater of female identity by deconstructing representations of the female body. Using her own body as performance object and video as a theatrical construct, Jonas unveils a disjunctive self-portrait. As she performs in front of the camera-- masked, wearing a feathered headdress, or costumed as a belly-dancer--her feet, torso, arms and legs, subjected to the violence of the vertical roll, appear as disembodied fragments. (Purchased with Stuart and Gial Buchalter Fund for the Study of Contemporary Art). 20 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5157"">Video/C 5157Ж","See also:","â€¢149;Joan Jonas"
"Allan Kaprow Interview.","Interview with Allan Kaprow, conceptual artist, performance artist and commercial artist, concerning his philosophy of art as an expression of contemporary American life. 38 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4667"">Video/C 4667Ж","â€¢149; Allan Kaprow"
"Right On!: Poetry on Film.","During 1968 on the hot streets of New York a trio of young black performers, calling themselves The Original Last Poets, were creating a hip new form of guerilla poetry woven of soul, jazz, the blues and gospel. Today they are credited as the tap-root artists of Rap. This film, set on the rooftops and backalleys of the Lower East Side, presents the trio in the full range of performance from satire and power to tenderness and affirmation. 73 min. 
Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3403"">Video/C 3403Ж","â€¢149;Last Poets"
"Brace Up!","Cast: Kate Valk, Peyton Smith, Scott Shepherd, Ari Fliakos, Anna Köhler, Beatrice Roth, Ron Vawter, Willem Dafoe. Features an assemblage of three stage performances of the Wooster Group's productions of Brace up!, an adaptation of Anton Chekhov's drama Three Sisters. The presentation of the 2003 production, designed by Ken Kobland and Elizabeth LeCompte, incorporates close-up recordings of the performers simultaneously with continuous wide-angle footage. Bonus materials: An archival recording of Brace up! from April, 1993 with Peyton Smith, Karen Lashinsky, Beatrice Roth, Scott Renderer, Anna Köhler, Roy Faudree, Ron Vawter, Jeff Webster, Paul Schmidt, Clay Shirky, Dave Shelley, Linda Chapman, Kate Valk, Marianne Weems. 225 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2426"">DVD X2426Ж","â€¢149;Elizabeth LeCompte"
"Elizabeth LeCompte.","An interview with Elizabeth LeCompte, the director of the Wooster Group, an experimental theater company that operates out of its own theater, the Performing Garage, in New York City. The group's working process involves ""source"" texts which are quoted, reworked and juxtaposed with fragments of popular, cultural and social history, and finally combined with the personal or collective experiences of the group's members. 43 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4668"">Video/C 4668Ж","â€¢149;Elizabeth LeCompte"
"The Emperor Jones","Cast: Kate Valk, Willem DaFoe. An experimental theater performance of the Eugene O'Neill play in which an ambitious Black man deposes the local ruler of a Caribbean island and declares himself emperor. Bonus materials: Archival recordings of two complete live performances from 2009 at the Hong Kong Arts Festival and O'Neill Festival in Chicago, featuring Kate Valk in the title role, Scott Shepherd and Ari Fliakos as Smithers, and clips from the very first performances of the show in 1992 with Willem Dafoe in that role. 160 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2425"">DVD X2425Ж","â€¢149;Elizabeth LeCompte"
