"Source:","http://www.lib.berkeley.edu/MRC/language.html"
"
Language and Communication
"Language and Communication(Faces of Culture)","Shows how language, the primary means of human communication, is expressed in the sounds and movements of every culture to express feelings and aspirations. Discusses the structure and development of human language and its relationship to thought, as well as the significance of body language. Compares dialects and the language of Black Americans, Hopi Indians, African Nuers and other cultural groups to investigate whether thought reflects or influences culture. 1983. 29 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM11"">Video/C MM11Ж","Language and Communication"
"The Language of the Body. (Human Animal: A Natural History of the Human Species, 1).","Although humans can make more than 3,000 hand gestures, even the simplest have numerous variations and interpretations. This program, filmed on five continents, examines not only hand gestures, but facial expressions, head shakes and body distance as well--and the misunderstandings that can occur when body language is transported across cultural lines. Supression of body language is also discussed, along with ""nonverbal leakage,"" in which the body's language can belie a speaker's words. 1994. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6237"">Video/C 6237Ж","Language and Communication"
"The Language of War.","Examines the government and military language used to discuss military actions and plans.1990. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3142"">Video/C 3142Ж","Language and Communication"
"Languages Lost & Found: Speaking & Whistling the Mamma Tongue","This global mosaic celebrates diverse linguistic, musical, and cultural practices on five continents and highlights El Silbo, the whistled language of La Gomera in the Canary Islands. A film by Iris Brooks & Jon H. Davis. c2011. 30 min. 

Related web sites:
â€¢149;Ѭ href=""http://filmakers.com/index.php?a=filmDetail&filmID=1699"">Description from Filmakers Library catalogЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7067"">DVD X7067Ж","Language and Communication"
"The Linguist","Joins David Harrison and Gregory Anderson, scientists racing to document languages on the verge of extinction. In Siberia, India and Bolivia, David and Greg's resolve is tested by the very forces stifling languages: institutionalized racism and violent economic unrest. The scientists must overcome their own fears and preconceived notions to draw speakers from decades of silence. Their journey takes them deep into the heart of the cultures, knowledge, and communities at stake. Teacher's guide (""The linguists : a teacher's guide to endangered languages"" by K. David Harrison) includes instructions for using the film in a curriculum, film highlights, key ideas, key terms, teaching procedures, discussion questions, class activities, take-home assignments & lists of recommended resources. Produced and directed by Seth Kramer, Daniel A. Miller, Jeremy S. Newberger Special features (26 min.): featurette on the N/u language in South Africa (4 min.); featurette on the Thao & Pazih languages in Taiwan (4 min.); ""Archiving for speakers and linguists"" featurette (9 min.); featurette on the Myaamia language in the United States (7 min.); original trailer (2 min.). 2007. 64 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2876"">DVD X2876Ж","Language and Communication"
"Literature: From Words, Truth.","Part of a series of programs on the humanities stressing the relationship between the arts and human emotions. This segment looks at the influences of poetry, literature and the alphabet in the quest for human understanding. Host: Maya Angelou. Originally presented as a segment on the television program Humanities through the arts in 1978. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM587"">Video/C MM587Ж","Language and Communication"
"Manufacturing Consent: Noam Chomsky and the Media.","Explores the political life and times of the controversial author, linguist and radical philosopher, Noam Chomsky. Highlighting his analysis of media, Chomsky focuses on democratic societies where populations not disciplined by force are subject to more subtle forms of ideological control. 167 min.   

See also:
â€¢149; Herman, Edward S. Manufacturing Consent: The Political Economy of the Mass Media. New York: Pantheon Books, 1988. Main Stack P95.82.U6.H471 1988)



Full-text review from:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/ManufacturingConsent.html"">ABC-CLIO Video Rating Guide for LibrariesЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2211"">DVD 2211Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3440"">Video/C 3440Ж","Reviews and articles:

â€¢149; Alster, Laurence. ""Manufacturing Consent: Noam Chomsky and the Media."" (video recording reviews)Times Educational Supplement, n4077 (August 19, 1994):23.
â€¢149; Antush, John C. ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews)Monthly Review v45, n9 (Feb, 1994):47 (6 pages).
â€¢149; Breeden, Kathy. ""Manufacturing Consent: Noam Chomsky and the Media."" (video recording reviews)Library Journal v119, n18 (Nov 1, 1994):121.
â€¢149; Canby, Vincent. ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews)New York Times v142 (Wed, March 17, 1993):B3(N), C17(L), col 1, 13 col in.
â€¢149; Darke, Chris. ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews)Sight and Sound v3, n11 (Nov, 1993):45 (2 pages).
â€¢149; Jaehne, Karen. ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews)Film Quarterly v47, n1 (Fall, 1993):36 (3 pages).
â€¢149; Klawans, Stuart. ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews)Nation v256, n13 (April 5, 1993):461 (4 pages).
â€¢149; Mattick, Paul, Jr. ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews)Cineaste v20, n1 (Wntr, 1993):42 (2 pages).
â€¢149; Perry, Steve. ""Manufacturing Consent: Noam Chomsky and the Media."" (video recording reviews)Utne Reader, n58 (July-August, 1993):128.
â€¢149; Pevere, Geoff. ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews) Canadian Forum v71, n817 (March, 1993):25
â€¢149; ""Manufacturing Consent: Noam Chomsky and the Media."" (movie reviews) Progressive v57, n4 (April, 1993):14.

","Language and Communication"
"Materialien zur kontrastiven Grammatik DGS-Deutsch I: Singular Plural Ubereinstimmung bei Verben","A presentation of German sign language with a teacher and puppet demonstrating the signs. In German. PAL format. 1998. 18 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9079"">Video/C 9079Ж","Language and Communication"
"Multilingual Hong Kong: A Sociolinguistic Case Study of Code-switching.","A case study of code-switching in a bicultural community: Hong Kong. Interviews with dozens of Hong Kong residents reveals how and why they intermix Cantonese and English, and much about cultural identity in cosmopolitan populations. 2005. 33 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5403"">DVD 5403Ж","Language and Communication"
"Naturalism and Dualism in the Study of Language and Mind.","Noam Chomsky, noted professor of linguistics, expounds upon the unification of linguistics with the natural sciences and dualism versus the scientific approach in the philosophy of language. Lecture, U.C. Berkeley, April 5, 1994. 100 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2696"">Video/C 2696Ж","Language and Communication"
"The N Word: Divided We Stand.","Features commentary from celebrities, journalists, historians and everyday people regarding their personal history with and society's use of the N word (""nigger""). Explores the history and relevance of the word and the social status within and between the races. Writer & director, Todd Larkins. 2004. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6438"">DVD 6438Ж","Language and Communication"
"Nourishing Language Development in Early Childhood","Discusses the basic aspects of language, how language is acquired by young children, and strategies for nourishing early language acquisition. Presented by Alice Sterling Honig. Dist.: Ѭ href=""http://www.davidsonfilms.com/"">Davidson FilmsЖ. 1996. 31 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4628"">DVD X4628Ж","Language and Communication"
"Nu-Shu: A Hidden Language of Women in China","Nu-Shu is a secret written language used only by women in the Hunan Province of China. Using fans, tapestries and quilts as their blank pages, the women of the Yao people managed to discuss issues of the day in a semi-phonetic script that is now centuries, if not millennia, old. Passed down from generation to generation, it was ""discovered"" in the 1960s and nearly destroyed during the Cultural Revolution and finally was given serious study in the late 1980s. c1999. This tape contains both 58 min. and 47 min. versions of the same program. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7846"">Video/C 7846Ж","Language and Communication"
"The Performed Word","The power of the Afro-American performed word, particularly that of black preachers, is examined services and interviews with Bishop E. E. Cleveland of Berkeley, California, esteemed as the embodiment of his culture and the bearer of Afro-American tradition. Directors, Ernest Shinagawa, Carlos de Jesus. 1982. 60 min.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7460"">DVD 7460Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3209"">Video/C 3209Ж","Language and Communication"
"Personal Sace: Exploring Human Proxemics","Presenter: Dane Archer. Space is a silent language, and we all speak it, whether consciously or not. Discusses the concept of personal space and the interpersonal and cultural issues that define it. Students from a variety of cultural backgrounds demonstrate how culture defines the use of space, territory and touching. Contents: Spatial relations -- Space habits: habitual seating -- Territorial defense -- Space invaders: breaking proxemic rules -- Reactions and assumptions -- Why didn't you say something? -- Space affects everything -- The power of culture -- Cultural differences: space, touch -- Symbolic touch -- Architecture: a profession of space.  

Related web sites:
â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/ethnic_studies_minority_americans/multiculturalism_general_ethnic_studies/personal_space_exploring_human_proxemics"">Description from Berkeley Media LLP catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8342"">DVD 8342Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7457"">Video/C 7457Ж","Language and Communication"
"The Philosophy of Language","Berkeley philosopher of language John Searle discusses the question: ""How does language relate to thought and to reality?"" Searle explores the use of language to clarify experience as fundamental to the acquisition of knowledge. He then describes the various uses of language in the philosophies of Plato, Descartes, Frege, Mills and others. 1997. 46 min. ; also on VHS ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2101"">DVD 2101Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8350"">Video/C 8350Ж","Language and Communication"
"Pidgin","Profiles the language of Hawai?i's working people in its rise from plantation jargon to a source of island identity and pride. Born on sugar plantations and spoken by more than half of Hawaii's population, Pidgin captures multi-ethnic Hawai?i's heart and soul. Once again under attack by educators and bloggers, will Pidgin survive? directed by Marlene Booth. Dist.: Ѭ href=""http://www.newday.com"">New Day FilmsЖ. 2009. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3851"">DVD X3851Ж","Language and Communication"
"Poto and Cabengo","Gorin explores the case of the Kennedy twins, 6-year-old girls who were thought to have developed a private language. The film becomes the director's own search for his subject, about the failed American Dream of the twins' German mother and Southern-born father, the cultural manifestations of lower middle class life in California, media exploitation and dysfunctional language. An unstructured discourse (the language of the twins) is surrounded by structured discourse (the discourse of the family, media, a therapist, and the discourse of documentary filmmaking). Director, Jean-Pierre Gorin. 1980. 73 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X6888"">DVD X6888Ж","Language and Communication"
"Read My Lips: Learning Language","Communication is at the core of the human experience, even though effective communication takes a lifetime to learn. This program explores how we develop the art s of speech and physical expression to make ourselves understood and to understand others. Visiting a group of 25 three-year-olds, the film observes them learning as many as ten new words a day--some already grasping the first 1,500 components of the 20,000-word vocabulary collected in the average life span. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2004. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3623"">DVD X3623Ж","Language and Communication"
"Reading People: The Unwritten Language of the Body","Explores how people communicate through body movements, gestures and through use of personal space. 1998. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2825"">Video/C 2825Ж","Language and Communication"
"Sacred Language, Spoken Language","Originally a sacred language of prayer and scripture, Hebrew has now become the spoken language of everyday life in Israel. Here thirteen artists and writers born in Israel attempt to describe their relationship to the religious dimensions of the Hebrew language. A film by Nurith Aviv. 2008. 73 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3849"">DVD X3849Ж","Language and Communication"
"Sexism in Language","Presents closely-analyzed examples that show how sexism and anti-sexism may be contained in language use in song lyrics, everyday conversation, news reports, written conventions, and satire. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2825"">Video/C 2825Ж","Language and Communication"
"Sexism in Language: Thief of Honor, Shaper of Lies: A Lecture","Lynn T. Lovdal explores sexism in both the syntax and semantics of language and shows how it is often unintentional or even unrecognized. She explores four key areas: ""female"" words that are dependent on a ""male"" version, words that are more positive for men than for women, words for women that carry negative sexual connotations, and ""neutral"" words that become inferior when applied to women. 29 min. 

Related web sites:
â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/communication/language_linguistics/sexism_in_language_thief_of_honor_shaper_of_lies"">Description from Berkeley Media LLC catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4115"">Video/C 4115Ж","Language and Communication"
"The Signed English Video Learning System.","For the hearing impaired, people with normal hearing who are experiencing developmental difficulties or anyone who uses sign language to communicate. Presents a communication system which uses written, spoken and signed language, as well as illustrations where applicable, to communicate words and phrases to the viewer. Over 400 signs are arranged in logical sequence groups for effective learning. 117 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1187"">Video/C 1187Ж","Language and Communication"
"Signing Naturally: Student Videotext Level 1.","118 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3418"">Video/C 3418Ж","Language and Communication"
"Signs of the Apes, Songs of the Whales","A segment from the television program: Nova. Investigates various research into language development in apes and whales, and explores the way animals and man may communicate. 57 min. NRLF B 4 175 402","Language and Communication"
"Spanish-speakers and Bilingualism.","Film focuses on the different kinds of Spanish spoken in the U.S. and on the interchangeable use, or code switching, of English and Spanish by bilinguals in South Texas. 19 min 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2867"">Video/C 2867Ж","Language and Communication"
"Speaking in Tongues","Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2006.","â€¢149;Let There Be Words. What is language? -- Early evolution of language -- The brain -- Photo world and Nostratic -- First words. What precisely is language, and how did humans acquire it? In an effort to answer those essential questions, this program journeys back to prehistoric times in search of language's origin. Additional topics include distinguishing features of human communication and what humankind's first utterances may have been. The early evolution and migration of humans is also considered. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9171"">DVD 9171Ж","â€¢149;Constant Change. Language creation -- Fox P2 and language change -- Dialects and fully modern language -- The linguists. This program examines factors that contributed to the diversification and spread of languages, including early migration, the introduction of agriculture, and genes. Language transfer from mother to child and from one population to the next is also investigated, along with the concept of dialects and commonalities among the world's more than 6,000 languages. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9172"">DVD 9172Ж","â€¢149;Mother Tongues. Languages of Africa -- Languages of Oceania -- Languages of Asia -- Languages of Europe -- Languages of the Americas. Moving from Africa to Oceania and up to Asia and then west to Europe and across the ocean to the Americas, this program assesses how many languages are spoken in each region, the characteristics they share, and misconceptions about them. Historical background on some of the key languages of the regions is included as well. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9173"">DVD 9173Ж","â€¢149;Civilization to Colonization. History of writing -- Language and society -- Creoles and Pidgins. Writing is a relative latecomer to the history of language. This program tracks its emergence in Mesopotamia, China, and Mesoamerica and its spread down through the millennia via conquest -- usually violent, sometimes benign -- and colonization. The creation of creoles and pidgins resulting from the interaction of specific populations is also addressed, and speculation is made about the first things written down. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9174"">DVD 9174Ж","Language and Communication"
"The Spell of Linguistic.","Bernard Williams discusses linguistic philosophy--an off-shoot of logical positivism--which argues that sentences can have no meaning beyond that which humans give them because language is a human invention. 1997. 46 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2109"">DVD 2109Ж","Language and Communication"
"Spellbound","Follows the lives of eight young Americans who share one goal: to win the 1999 National Spelling Bee in Washington, D.C. The Bee is as intense a competition as any Olympic match, for both the spellers and their families. The unbearable pressure becomes even more extraordinary when it is felt by ordinary teenagers. Directed by Jeffrey Blitz. 2002. 97 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7594"">DVD 7594Ж","Language and Communication"
"Story of English 60 min. each","â€¢149; An English Speaking World. Explores the development of the English language, and how it became the language of choice for technology, diplomacy, business, and popular culture for many nations.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1293"">DVD X1293Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+917"">Video/C 917Ж","â€¢149; The Mother Tongue. Surveys the history of the English language from the Anglo-Saxon invasion and its impact on the language to the Norman French influence on Chaucer.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1293"">DVD X1293Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+918"">Video/C 918Ж","â€¢149; A Muse of Fire. Focuses on the emergence of the English nation in the 1500's during the reigns of Henry VIII, Elizabeth I, and James I. Describes the spread of its language into the New World and examines the lifestyle of the colonists who came to the United States in the 1600's. [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1294"">DVD X1294Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+919"">Video/C 919Ж","â€¢149; The Guid Scots Tongue. Traces the influence of Scottish and Irish Gaelic on the English language. Discusses the English spoken in the Appalachian region of the U.S.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1294"">DVD X1294Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+919"">Video/C 919Ж","â€¢149; Black on White. Probes the roots of Black English, including the American slave trade, plantation life, the Creole influence, and Harlem's jive talk. Discusses the influence of this variety of English on white American speech and literature.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1295"">DVD X1295Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+920"">Video/C 920Ж","â€¢149; Pioneers o Pioneers! Describes the evolution of American English from the Revolutionary War through the 1920's and the contribution of slang terms from segments of the population (riverboat men, gamblers, cowboys, etc.) along with the foreign influence of the 1900's immigrants. Points out differences between American and Canadian English.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1295"">DVD X1295Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+920"">Video/C 920Ж","â€¢149; The Muvver Tongue. Discusses the development of Cockney English and its influence on Australian and New Zealand English.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1296"">DVD X1296Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+921"">Video/C 921Ж","â€¢149; The Loaded Weapon. Discusses the influence of Irish Gaelic on the English language in Ireland and describes how these linguistic differences produce the cultural and political differences with England.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1296"">DVD X1296Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+921"">Video/C 921Ж","â€¢149; Next Year's Words. Explores the usage of English in the languages of other countries and illustrates how Pidgin English, patois and other dialects have altered and enriched the English language.  [preservation copy] ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X1297"">DVD X1297Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+922"">Video/C 922Ж","Language and Communication"
"Trials of Life: pt.10. Talking to Strangers.","Discussion of various modes of animal communication. 60 min.  pt. 10.","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2390"">Video/C 2390Ж","Language and Communication"
"Transitions: Destruction of a Mother Tongue","This film by Blackfeet producers explores the relationship between language, thought, and culture, and examines the impact of language loss in Native American communities. The film chronicles the disappearance of the Blackfeet tribal language during the period of 1890-1990, with analysis of why the Mother tongue was destroyed. 1991. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7226"">Video/C 7226Ж","Language and Communication"
"Unlocking Language","A group of experts discuss the birth, development, and transmission of language in humans as opposed to communication within animal species. Topics include the role of evolution; language as an innately guided behavior in babies and young children; the relationship between genes and language disorders; and the isolation of the Speech 1 gene through research of the KE family in London. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6221"">Video/C 6221Ж","Language and Communication"
"Voices in a Deaf Theater","This unusually perceptive documentary chronicles the rehearsal process of four hearing actors and four deaf actors as they collaborate on a production of The Glass Menagerie at Gallaudet University. The deaf actors on-stage perform in American Sign Language while hearing actors provide a simultaneous voice version. For the play to work dramatically, the two sets of players must achieve a shared interpretation of the characters and a common style and cadence. This production was filmed at Gallaudet University. 1996. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5804"">Video/C 5804Ж","Language and Communication"
"Washoe: The Monkey Who Communicates through Sign Language.","Using film footage from 1965 on, this documentary traces the life and unique accomplishments of Washoe, the first chimpanzee to communicate with humans and other monkeys in American sign language. Shows Washoe as she was raised like a child by two psychologists, Allen and Beatrix Gardner, who were studying the influence of human interaction on simians. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6219"">Video/C 6219Ж","Language and Communication"
"When the Mind Hears.","â€¢149; When the Mind Hears: An Interview with Harlan Lane An in-depth interview with the author of the book When the Mind Hears. Some of the topics discussed include information that Harlan gathered doing his research but did not or could not include in the book, personal insights and observations, and implications for the present and future. 55 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3129"">Video/C 3129Ж","â€¢149; My New Family In this film the story of the childhood and education of Laurent Clerc, a pioneer of deaf education, is described. When he was twelve, after being deprived of the opportunity to attend school, he went with his uncle on a week long journey to the National Institute for Deaf-Mutes in Paris. It was here that Laurent Clerc spent the next twenty years and met a young deaf man, Jean Massieu. ""I knew that I would learn this new deaf language and that these people, this society of the deaf, would become my new family. 36 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3130"">Video/C 3130Ж","â€¢149; The Shepherd and the Symbol. This film examines the life and work of Jean Massieu. Describes Massieu's frustrated pleas to his father to be allowed to attend school, the kindness of a stranger that lead to his early education in Bordeau under the abbe Sicard and several dramatic examples of Massieu's decades-long friendship with and loyalty to the abbe Sicard. Jean Massieu was not only a friend and mentor of Laurent Clerc, but he was also ""the first deaf teacher ever and a symbol worldwide of what a deaf man could achieve through education."" 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3131"">Video/C 3131Ж","â€¢149; High Theater. This film tells the story of Abbe Roch-Ambroise Sicard, the teacher of Jean Massieu. As the successor to the Abbe de l'Epee, Sicard, along with Massieu, presented a petition to the French National Assembly and obtained a permanent home for the school--Saint-Jacques. Sicard eagerly continued the tradition of public demonstrations and exhibits started by the Abbe de l'Epee. In 1815 Sicard undertook a demonstration tour to London with Massieu, Clerc, and another students. According to Clerc ""thus it was that I first came to meet Rev. Thomas Gallaudet."" 33 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3132"">Video/C 3132Ж","â€¢149; The Secret. This film concerns the history of the false education of deaf people. Focus is upon oralism, the concept that the only proper route for educating deaf students is oral instruction. A central figure in the oralist controversy is Jacob Rodrigue Pereire. He claimed to have a secret method for teaching deaf children to speak. This episode is ""a record of the efforts of hearing people to supplant the language of the deaf with their language, to replace signs with speech."" 33 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3134"">Video/C 3134Ж","â€¢149; A Tale Based on Fact. This film focuses on Abbe de L'Epee, and the beginning of world wide education for deaf people. The chance encounter between Abbe de L'Epee and two deaf sisters launched him on his career with deaf students and inspired the abbe to begin his school. What is remarkable is that this occurred in an age when the majority view was that deaf people had no abstract ideas, no memory and, of course, no language. ""Fortunately, Eppe's independence of spirit kept him from adopting the prevailing views uncritically."" 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3133"">Video/C 3133Ж","â€¢149; Success and Failure. This film centers around two men, Jean-Marc Itard and Baron Joseph Marie De Gerando, who expended great time and energy in futile efforts to transform deaf students into pseudo-hearing students. There were, fortunately, outspoken critics of these efforts...men such as Ferdinand Berthier and Roch-Ambroise Bebian. In the end, both Itard and De Gerando learned the lessons of their failed experiments. 40 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3135"">Video/C 3135Ж","â€¢149; Fortune and Misfortune. This film centers on events that lead to the founding of education for deaf students in the United States. Thomas Gallaudet, encouraged by Mason Cogswell to learn the European methods of educating deaf students, enrolls at Saint-Jacques. It is here that Gallaudet convinces Laurent Clerc to accompany him to Hartford to assist in founding a school for the deaf in the United States. ""You will be a living proof that what has been believed impossible--the education of those born deaf--is indeed possible."" 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3136"">Video/C 3136Ж","â€¢149; Spreading the Word.This film centers around the efforts of Gallaudet and Clerc to establish the American Asylum, recruit students and seek funding for the school and its programs. These efforts involved extensive travel and public lectures not only to solicit funds but also to recruit students so the school would flourish. Within a dozen years of its founding the school was receiving students from half the states in the Union. ""This assembly of much of the deaf youth of America in one place was one of the main forces that created a true society of the deaf with a single language serving to bind them together."" 24 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3137"">Video/C 3137Ж","â€¢149; Concerning Women. In this film four women who made significant contributions to the education of the deaf are discussed: Alice Cogswell, Julia Brace, Eliza Boardman Clerc, and Sophia Fowler Gallaudet. Alice Cogswell was the deaf daughter of Mason Cogswell, and the source of the motivation of this pioneer educator; Julia Brace was the first educated deaf-blind person in America; Eliza Boardman, a student at the American Asylum, married Laurent Clerc, in what was the first deaf marriage in America; Sophia Fowler was the fourteen student to enter the school and eventually married Thomas Gallaudet. Their fourth son became president of the National Deaf-Mute College in Washington, D.C. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3138"">Video/C 3138Ж","â€¢149; A Dangerous Incursion. Describes attempts to eradicate and eliminate the language and society of the deaf that had been nurtured at the American Asylum in Hartford. Horace Mann and Samuel Gridley Howe, self-proclaimed social reformers, squandered time, effort and money on the surface appearance of oral language rather than on the true bedrock of intellectual development. ""Powerful hearing people want to replace our language, to educate us in a foreign tongue, to disperse our gatherings, to ban our marriages."" 18 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3139"">Video/C 3139Ж","â€¢149; The Denial. This film centers upon the opposed viewpoints concerning signed and oral languages between Alexander Graham Bell and Laurent Clerc. Bell was a firm believer in oralism while Clerc favored a deaf community and sign language. Clerc believed that the overriding purpose of education was personal fulfillment, while for Bell it was integration of deaf persons with the hearing majority. 37 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3140"">Video/C 3140Ж","â€¢149; The Incurable Deafness. This final film of the series is reported from the perspective of Harlan Lane concerning his views on the current situation for deaf persons. He believes that the congress held by the Pereire Society in 1880 in Milan was ""the single most critical event which released a tidal wave or oralism which resulted in the submersion of sign language and signing communities. He feels the dominance of oralism and the supression of signing have resulted in the limited educational achievement of today's deaf men and women, 80% of whom, in America, are engaged in manual or unskilled labor."" 24 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3141"">Video/C 3141Ж","Language and Communication"
"A Word in Edgewise.","Film explains the role of language in shaping behavior and explores sex bias in everyday speech and writing.Cites illustrations of abuses as well as suggestions to improve awareness of our use and abuse of language. 

Related web sites:
â€¢149; Ѭ href=""http://www.wmm.com/catalog/page.htm"">Description from Women Make Movies catalogЖ

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3363"">Video/C 3363Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc186"">s/c186Ж","Language and Communication"
