"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"The Eluvsive Mountain Gya","In 1997, climbers from a variety of South Asian countries, set out to climb Mt. Gya on the Indo-Tibet border. The film follows the team as they move through high altitude passes on an old trade route between Tibet and the north Indian plains and stays with them through four days of ascent until the summit is successfully reached at 22,400 feet. c1998. 25 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8548"">Video/C 8548Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Family Krishnappa","Depicts one day in the life of a typical rural family and village in Southern India. 1977. 18 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4259"">Video/C 4259Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Father, Son and Holy War.","A film examining the connection between religion, violence and male identity in India today and exploring the possibility that a key to the psychology of violence against ""the enemy"" is male insecurity, itself an inevitable product of the very construction of ""manhood"". Production, direction, editing, Anand Patwardhan. 1994. 120 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3428"">DVD X3428Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3638"">Video/C 3638Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://icarusfilms.com/cat97/f-j/father__.html"">Description from Icarus Films catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Fehmul Quran.","Readings from the Koran and teachings on the proper understanding of the Koran by Maulana Kausar Niazi. In Urdu. 1988. 85 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4729"">Video/C 4729Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Fifth Schedule.","A discussion of the effects of the intrusion of non-tribals into tribal habitat in the Godavari districts in Andhra Pradesh which has resulted in large scale alienation of tribal land, deforestation, and ecological degredation. Also examines the initiatives for development, both by governmental voluntary sources. 1990. 44 min. PAL format 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+470"">Video/C 470Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Final Solution","Set in Gujarat, India between February 2002 and July 2003, this film examines the aftermath of the deadly violence that followed the burning of 58 Hindus on the Sabarmati Express train at Godhra on February 27 2002. In ""reaction"" to that incident, some 2,500 Muslims were brutally murdered, hundreds of women raped, and more than 200,000 families driven from their homes. 2004. 149 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4"">DVD X4Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Fishing in the Sea of Greed","As export governments hand over territorial waters to transnational corporations, they actively promote abuse of the seas. This film documents the response of traditional fishing communities in India to the threat of displacement by overfishing and pollution resulting from industrial fishing practices such as use of gigantic factory ships, and the protests of Bangladesh rice growers to the flooding of large stretches of fertile land with salt water. 1998. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7901"">Video/C 7901Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Footprint of the Buddha - India","Ronald Eyre visits Sri Lanka and India to discover the type of Buddhism practiced throughout Southeast Asia. Includes talks with monks, school children, novices, and housewives who describe their own religious experiences and discuss the high moral standards demanded by Buddhism. 1978. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+192"">Video/C 192Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"For a Place Under the Heavens","Beginning with the creation of Pakistan in 1947, Sumar traces the relationship of Islam to the state in an effort to understand how women are coping with and surviving the increasing religiosity of civil and political life in her country. She struggles to comprehend how religious schools have expanded at unthinkable rates and presents chilling footage of a mother encouraging her toddler to be a martyr when he grows up. Mixing political analysis with interviews with activist colleagues, noted Islamic scholars and Pakistani women who have chosen to embrace fundamentalism, Sumar's provocative questions dramatically capture the tension between liberal and fundamentalist forces that are shaping life in contemporary Pakistan. A film by Sabiha Sumar. 2003. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM352"">Video/C MM352Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc624"">s/c624Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Forest of Bliss.","A film without commentary, subtitles or dialogue on daily life in the Holy City of Benares filmed from one sunrise to the next, including daily customs and religious rituals. A film by Robert Gardner. 1986. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5516"">DVD 5516Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Fountains of Paradise.","Examines Sri Lanka's plans and hopes for its Mahaweli Irrigation Project, as well as the economic, social, and environmental costs for the country. 1984. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM802"">Video/C MM802Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Four Holy Men: Renunciation in Hindu Society.","A documentary on four sadhus: a mission hospital administrator, a traditional guru who heads a monastery, a recluse with no organizational ties, and a scholar who is also founder of a national political party. Interviews with the sadhus and with lay people reveal a wide range of opinions on the roles of sadhus in Hindu society today. Project director, Joseph W. Elder; film makers, Mira Reym Binford, Michael Camerini. 1976 37 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4421"">DVD X4421Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4140"">Video/C 4140Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"4 Skits on Communal Stereotypes.","Accompanied by printed study guide in English: ""Partly true and wholly false: a study guide on communal stereotypes."" New Delhi, Indian Social Institute, 1986. Puppets and short skits examine stereotypes of Hindu, Muslim and Christian communities. In Hindi. 1986 M-PAL format. 26 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4726"">Video/C 4726Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Fourth Islamic Summit: Speech by Mohammad Zia-ul-Haq, 17th January 1984.","Speech by President General Mohammad Zia-ul-Haq (Pakistan) at Fourth Islamic Summit in Islamabad on 17th January, 1984. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3801"">Video/C 3801Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Fourth Stage","Documentary about a retired Indian journalist, E.R. Seturam, who is considering whether to embark on an ancient Hindu quest for self-realization through the fourth stage of life (sannyasa). Accompanies Seturam as he discusses his possible decision with colleagues, family members, other sannyasins, and holy men throughout India. 1984. 42 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6598"">Video/C 6598Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Fragile Promise","What promise does the new millennium hold for Asia's vast army of child laborers? One answer can be found in Bangalore, India where working children have organized a union to fight for their rights and welfare. This is the story of children changing their lives for the better, children for whom the future holds a fragile promise. 2001. 11 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9142"">Video/C 9142Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Free to Sing?: The Music of Suman Chatterjee.","Suman Chatterjee is a Bengali political singer from Calcutta whose political stance, critical of the right as well as the left, has made him a persecuted and an immensely popular singer at the same time. This film which contains interviews with Suman and citizens of Calcutta, poets, journalists, artists, intellectuals and fellow musicians is also generously interlaced with song sequences and scenes from Calcutta. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4715"">Video/C 4715Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Freedom Now, 1947 (The People's Century )","In 1947, 160 years of British rule came to an end as India became the world's largest democracy, inspiring the fight for freedom on another continent. This film talks with the people who witnessed and participated in the struggle for independence in India and Africa. While Mohandas Gandhi showed the world how the masses could successfully defy their imperial masters, his example spurred others on: European empires in Africa and Asia began to crumble, and in short order, Ghana, Kenya, Algeria, Mozambique, and dozens more would win their freedom. 1998. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5553"">Video/C 5553Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"From the Diary of a Genetic Counsellor.","The program takes up two cases of Down's Syndrome with different genetic profiles (Trisomy 21 and Translocation 14-21) and traces the counseling process involved in each case. The aim is to highlight counseling strategies in India that could be adopted to help clients come to terms and deal with the disorder. 1990. 30 min. PAL format ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+469"">Video/C 469Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Frontiers of Faith: World Sikhism Today.","Describes Sikh principles and lifestyle and documents the recent history and current state of Sikhism in India, Europe, and North America. Interviews with Sikh leaders and families, scholars, and human rights activists reveal a people subjected to varied levels of racial discrimination and, in India, harsh suppression and even massacres. Since the 1984 killing of Sikh fundamentalist leader Jarnail Singh Bhindranwale, Sikh political leaders have continued to press for an autonomous homeland, which they call Kalistan. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1999. 49 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6293"">Video/C 6293Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Gandhi.","This film follows Gandhi's life from young lawyer through his historic struggle to free India from colonial rule. Winner of 8 Academy Awards. An all-star cast headed by Ben Kingsley. 1982. 188 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:203"">vhs 999:203Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Gandhi's Children","The Prayas Children's Home for Boys is located in one of the poorer quarters of New Delhi. The residents are orphans, or boys who have run away from home, or were picked up from the streets. One day, 181 boys arrive, having been rescued from a child labor factory. Despite the harshness of their lives, many of these children show extraordinary strength of character. Often left to their own devices, they institute a seemingly arbitrary set of checks and balances to make sense of the mayhem around them. Produced by David MacDougall. 2008. 185 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3284"">DVD X3284Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/anthropology_world_cultures/asian_pacific_studies/gandhis_children"">Berkeley Media LLC catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ganges","Explores the history, geography, wildlife, and social impact of the Ganges River in India which flows over 1500 miles from the peaks of the Himalayas to the Sunderbans swamps and the Bay of Bengal. 2007. 195 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X197"">DVD X197Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Ganges(Great Rivers of the World)","Tells the historical, geographical, and human story of the ""mother of rivers,"" of the Aryan civilization that shaped much of Western civilization, the birthplace of Hinduism, the holy of holies of nearly a billion people. The Ganges flows from the heights of Tibet to water a fourth of the Indian subcontinent. 1991. 45 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4580"">Video/C 4580Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Ganges: River to Heaven","This documentary explores one of the most cherished of Hindu religious aspirations: to die in the city of Varanasi, on the banks of the sacred Ganges, in the faith that dying here assures liberation from the cycle of earthly life. Directed and produced by Gayle Ferraro. c2003. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4596"">DVD 4596Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/anthropology_world_cultures/asian_pacific_studies/ganges_river_to_heaven"">Description from Berkeley Media LLC catalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Given to Dance","An exploration of the lives of the last Hindu temple dancers in India...women who were regarded as brides of the god and consecrated to dance. Includes interviews with former temple dancers, a study of their dance techniques and of Odissi dance as it is now performed on stage in India. 1986. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4255"">Video/C 4255Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Gokak Goes Green","Documentary on the establishment of an industrial greenbelt through afforestation by the firm Gokak Mills in the Belgaum District of India. PAL format. 1999. 12 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7943"">Video/C 7943Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Good Earth: An Insight into Sustainable Agriculture","Documentary on the small and big farms in India that are using natural farming methods to create a sustainable agricultural system. The farmers themselves talk about their methods of natural farming. Director, producer, Krishnendu Bose. 1993. 41 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM861"">Video/C MM861Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Great Awakening: Rise of Buddhism in India","A short history of the life of Siddhartha Gautama is followed by a discussion of Buddhism and its development in India. Contents: Great awakening, Buddhism in India. Contents: 1. Buddha. -- 2. Dharma. -- 3. Sangha. 1991. 45 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2467"">Video/C 2467Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Great Benazir Bhutto.","On the life and activities of Benazir Bhutto, prime minister of Pakistan, including footage of her public speeches. Closes with a 10 minute press conference in English. 1994. 180 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4727"">Video/C 4727Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Great Gathering","A study of the history, meaning, and diverse participants in the Maha Kumbha Mela, a spectacular Hindu sacred festival held every twelve years on the banks of the Ganges in India. The Kumbha Mela is the largest festive gathering of humanity on earth. It rotates between four different host cities. Held in Allahabad In 2001 it is estimated that 50 million people gathered for this unique event. By bathing in the Ganges during the Kumbha Mela it is believed that one will be absolved of all past-life Karma and freed from the vicious cycle of birth and death. Directed by Mary Sue Connolly. 2003. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3277"">DVD X3277Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/anthropology_world_cultures/asian_pacific_studies/the_great_gathering"">Berkeley Media LLC catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Harishcandra.","In this Hindu legend severe tests face a noble king who is known throughout the universe for never swaying from his principles. The sages Narada and Vishvamitra conspire to test King Harischandra, but even the severest hardships cannot sway him from his word or destory his faith in Krishna. 1997. 137 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4947"">Video/C 4947Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Harvest of Rain (Wealth of Nations. People and the Environment)","One of the basic principles of water management is to conserve water where it falls. But India is chasing hydraulic nightmares: big dams and canals while an age-old wisdom lies forgotten. This video examines India's traditional water harvesting systems, wandering though Uttar Pradesh, Rajasthan and Tamil Nadu, to illuminate a profound science of the people. The film analyses a wide variety of water management systems as a function of differing ecological terrains. 1995. PAL format. 1995. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5660"">Video/C 5660Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Harvesting Hunger","Documentary television program on the crisis in Indian agriculture. Specifically looks at the Kalahandi region and Punjab which rely heavily on the forest and the land for their livelihood. Discusses the return of many farmers to traditional methods of farming which require no pesticides and do not rely on overpriced seeds from seed companies that form monopolies and overcharge for inferior products. Also looks at the plight of the farmers who end up in deep debt and in despair drink pesticides to end their lives. Written and directed by Krishnendu Bose. 2000. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM864"">Video/C MM864Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Hello Photo.","Nina Davenport spent one year travelling throughout India, capturing images of the people and the country few Westerners ever see: a jute factory straight out of the industrial age, a mosque decorated with erotic sculptures, cows stuck in traffic jams, elephants blessing people, scenes of a traveling circus, inside a school for the blind, and holy people possessed by spirits. We return now and then to the sets of Bombay's thriving film industry and to the streets themselves in a unique visual experience of India. 1995. 55 min. 

â€¢149;Ѭ href=""http://anth.alexanderstreet.com/View/764750/"">View online (Part I) (UCB users only)Ж","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4398"">Video/C 4398Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Herra Puntila Sri Lankassa","A surprising and touching documentary of a Finnish theater director who travels to Sri Lanka and gathers professional and amateur Sri Lankan actors to create a fine production of Bertolt Brecht's Herr Puntila and his servant Matti. 1995. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4234"">Video/C 4234Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Hey Ram!: Genocide in the Land of Gandhi","Looks at the Gujarat riots of 2002 where more than 900 people, mostly Muslims, were killed as Hindu militants torched Muslim-run businesses and homes in apparent retaliation for the killing of a trainload of Hindu activists by Muslim extremists. Includes interviews with survivors and graphic scenes of victims. 2002. 25 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM158"">Video/C MM158Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Hidden Face of Globalization: What the Corporations Do Not Want Us to Know","Examines the working and living conditions of garmet factory workers in Bangladesh, calling for an end to child labor and sweatshop abuses. 2003. 34 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM996"">Video/C MM996Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Hidden Story: A Quest for Women's Unrecorded History.","Presents the stories of four peasant women from different parts of India. From forest women to desert women to dalit women--the documentary explores the multiple roles of women in rural India. These women, hidden from history, language, and representation, narrate their stories of struggles, of hardships, and collective achievements. Conceived as a first person narrative, the documentary attempts an exploratory journey and dialogue between the filmmakers and the four women, who in many ways define their lives and selves through an evocation of dreams, memories, myths, and legends. (1996?) 58 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7155"">Video/C 7155Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Highway Courtesans","Examines the unusual custom of the Bachchara community in India which demands that the eldest daughter born to every family must work as a prostitute to support their entire household. Known as a Khilawadi, their positions are stronger than that of the male members of the community. Directed by Mystelle Brabbee Filmed in Central India from 1995 to 2004. 71 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4508"">DVD 4508Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Description from Woman Make Movies catalogЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc654"">s/c654Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"â€¢149;Catsoulis, Jeannette. ""Highway Courtesans."" New York Times, 12/1/2006, Vol. 156 Issue 53780, pE12,","â€¢149;Shelley Feldman; Karuna Morarji. ""Highway Courtesans"" Visual Anthropology; March 2007; Volume 20 No. 2 Pages 251 - 254 Ѭ href=""http://www.informaworld.com/smpp/ftinterface~content=a771642445~fulltext=713240930"">Full-text of this article / review is available:UC users onlyЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Highway to Hell: Trafficking of Girls from Nepal to India","Examines the plight of Nepalese girls tricked into leaving home, often with the promise of marriage or legitimate employment, then sold to brothels in India. 2000. 38 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9738"">Video/C 9738Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Hindu Ascetics","A documentary illustrating the rituals and practices of India's holy men--sadhus, fakirs and yogi--including ecstatic dancing, meditation, and mind-over-body feats designed to develop the power of concentration. Film also examines the connection of the rituals of these ascetic eremites to ancient Hindu and Buddhist rituals. 1994. 1994. 44 min ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4588"">Video/C 4588Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Hinduism.","Eighty percent of India's vast population follow the way of Hinduism, an ancient yet vibrant religion. This overview traces the history of Hinduism's development and reformation; spiritual concepts such as karma, dharma, and God as both one and many; the numerous Hindu scriptures and Hindu worship practices are explored. 1999. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7043"">Video/C 7043Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Hinduism: The Elephant God.","A discussion of the major tenets, rituals and gods of Hinduism. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1996. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6110"">Video/C 6110Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Hinduism and Buddhism ( Wisdom of Faith; 1).","This program explores the two great religions to come from India. Huston Smith uncovers the mysteries of multiphonic chanting among Tibetan lamas and meditates 8 hours a day with a Zen master. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1996. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4581"">Video/C 4581Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"History and Contemporary Politics in India","Professor Romila Thapar, Professor Emeritus of History, Jawaharlal Nehru University, New Delhi, India visited the University of California at Berkeley at the invitation of the Center for South Asia Studies and the Department of South and Southeast Asian Studies to present two lectures in November 2002. The lecture held November 6, 2002 in the University of California at Berkeley's Sibley Auditorium was titled ""History and Contemporary Politics in India"".","Ѭ href=""%20http://webcast.berkeley.edu/events/replay.html?event_id=35"">View it with RealPlayerЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Holi.","Documents the Hindu harvest festival of Holi when Krishna's life is celebrated. This film brings the color and vitality of the festival to life as it is celebrated in the villages of the Vraj region of northern India between Delhi and Agra. The role of the Hindu deities is also discussed along with the significance of certain rituals as they pertain to Krishna's life. 1990. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7044"">Video/C 7044Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Holi Hey!: A Festival of Love, Color, and Life.","An indepth examination of the annual North India Spring festival of Holi as celebrated in the city of Banaras (Varanasi, Kashi). The film dramatizes how once each year the festival unites neighborhoods, breaches the barriers of age, caste, social rank and religious affiliation and calls all to share in unity and merriment. A respected Banaras brahman provides commentary recounting several explanations for the Holi festival. 1996. 54 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5583"">Video/C 5583Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Home.","Filmed entirely in India, this film explores the ideas of homeland, identity and resettlement as seen through the choices and dreams of two women. An East Indian American woman, who immigrated to theUnited States as a college student, returns to India ten years later to work through the conflicts she experienced with her family and to come to an understanding and acceptance of her Indian identity. 1992. 37 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3236"">Video/C 3236Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Homecoming (Glasnost Film Festival; 8).","Veterans of the Soviet involvement in Afghanistan returned home with unresolved feelings about a demoralizing and unpopular war. The first film to document the human impact of the Afghan war. 1987. 17 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1597"">Video/C 1597Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
