"Source:","http://www.lib.berkeley.edu/MRC/UShistory.html"
"
U.S. History

"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/the20thcentury.html"">20th Century OverviewsЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SixtiesVid.html"">1960's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/50svid.html"">1950's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/2030svid.html"">1920's/30's videographyЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/USPolitics.html"">US Politics & GovernmentЖ (includes videos about the US Presidency)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/propaganda.html"">PropagandaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AfricanAmVid.html"">African AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian AmericansЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LatinoVid.html"">Chicanos/LatinosЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/IndigenousVid.html"">Indigenous Peoples of North AmericaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/JewishVid.html"">Jewish StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/LaborVid.html"">Labor and Labor HistoryЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html"">Peace and Conflict StudiesЖ (for World Wars and other US military involvements)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/terrorism.html"">International TerrorismЖ (for works dealing with 9.11)","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PopcultureVid.html"">Popular CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/WomenVid.html"">Women's StudiesЖ","U.S. History"
"Civil War Films of the Silent Era","Commemorating the 50th anniversary of the American Civil War was a deluge of literature, drama and movies. The years 1911-1915 also marked the passage of movies from nickelodeon theaters to movie palaces showing carefully-prepared feature films. These silent films originally produced between 1913 and 1915 feature plots centered on the Civil War and include one feature film and two nickelodeon films by pioneering producer Thomas H. Ince. Contents: The Coward / director, Reginald Baker ; cast, Frank Keenan, Charles Ray, Margaret Gibson (i.e. Patricia Palmer), Gertrude Claire (1915, 77 min.) -- The Drummer of the 8th (1913, 24 min.) -- Granddad (1913, 29 min.). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+443"">DVD 443Ж","U.S. History"
"The Cold War. 1998. 47 min. each installment.","â€¢149;Comrades, 1917-1945. Though ideological enemies, the Soviet Union and the United States are allies against Hitler during WWII. At the end of the war, Europe is divided, and the one-time allies now confront each other knowing that the United States has the atomic bomb. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5735"">Video/C 5735Ж","â€¢149;Iron Curtain, 1945-1947. The Soviet Union dominates Eastern Europe. Churchill warns of the consequences. Stalin insists that the governments of the Soviet Union's client states be pro-communist. Impoverished after the war, Great Britain opts out as a world power. The United States assumes the mantle of world leadership. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5735"">Video/C 5735Ж","â€¢149; Marshall Plan, 1947-1952. The United States adopts the Truman doctrine, pledging to defend freedom worldwide. Secretary of State George Marshall plans to bolster economic recovery in Europe. Seeing this as a threat, Stalin forbids his satellites to participate. The world effectively divides. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5735"">Video/C 5735Ж","â€¢149;Berlin, 1948-1949 In Berlin, the American, British and French sectors form a Western enclave in the Soviet zone of divided Germany. In June 1948, the Soviets blockade the city, but the Western allies successfully airlift in supplies. In August 1949, Soviet scientists explode an atomic bomb, establishing nuclear parity between the two superpowers. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5736"">Video/C 5736Ж","â€¢149; Reds, 1947-1953. Following Stalin's domination of Eastern Europe and the loss of China, American democracy falls victim to anti-communist hysteria, but survives it. Eisenhower is elected President. In the Soviet Union, Stalin reinforces the climate of terror on which his rule is based. When he dies in 1953, the Soviet people mourn the end of an era. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5736"">Video/C 5736Ж","â€¢149;Korea, 1949-1953. In June 1950, North Korea invades the South, with Stalin's blessing. The United States, backed by the United Nations, defends South Korea, and then is confronted by communist China. In mid-1951, the war grinds to a bloody stalemate but eventually an armistice is signed. Aggression has been contained. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5736"">Video/C 5736Ж","â€¢149; After Stalin, 1953-1956. Thaw is conceivable with Stalin's death. Khrushchev outmaneuvers Malenkov for power and visits the West. Germans, Poles and Hungarians attempt to rise against Soviet rule. In 1956, an uprising in Hungary is ruthlessly crushed by Soviet tanks. The United States, pledged to contain rather than overthrow communism, does nothing. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5737"">Video/C 5737Ж","â€¢149;Sputnik, 1949-1961. In the mid-50s, the Soviet Union seems to be forging ahead. In October 1957, the first Soviet satellite Sputnik orbits the earth--to the dismay and fear of the United States, frustrated by its own ineffectual space program. In 1961, the Soviets launch Yuri Gargarin into space. America will have to meet the challenge. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5737"">Video/C 5737Ж","â€¢149; The Wall, 1958-1963. The fate of Germany remains unresolved. West Germany has been admitted to NATO. Within East Germany, Berlin is divided between East and West by an open border. Thousands seize the chance to flee the communist system. To keep their people in, the East Germans, with Soviet backing, build The Wall. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5737"">Video/C 5737Ж","â€¢149;Cuba, 1959-1962. Khruschev decides, with Castro's agreement, to install short-range and medium-range missiles in Cuba, only 90 miles from the U.S. The United States detects the missile sites and blockades the island. The superpowers confront each other; but rather than embark on nuclear war, they each step back. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5738"">Video/C 5738Ж","â€¢149;Vietnam, 1954-1968. Vietnam has been divided since the end of French colonial rule. The North is run by communists, the South by anti-communists. Ignoring warnings against involvement in a nationalist struggle, the United States commits its armed forces. American protests against the war mount as the U.S. begins to realize this is not a war it can win. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5738"">Video/C 5738Ж","â€¢149; MAD, 1960-1972. Throughout the 60s, the U.S. and the Soviet Union are locked in a nuclear stand-off; each realizes that bombing the enemy could provoke retaliation and self-destruction. Nuclear strategy evolves into Mutual Assured Destruction, or MAD, in which both sides are guaranteed certain annihilation in the event of nuclear war. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5738"">Video/C 5738Ж","â€¢149; Make Love Not War, The Sixties. Western economies grow and prosper, fueled partly by armaments production. Rejecting their parents' affluence and the Cold War, many of the young protest and rebel. There is racial violence in U.S. inner cities while rock music comes to express the mood of a disenchanted generation. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5739"">Video/C 5739Ж","â€¢149; Red Spring, The Sixties.In the Soviet bloc, communist rule stifles ambition and achievement. Soviet defense expenditure cripples economic growth. The young lust for totems of America's youth culture--blue jeans and rock-n-roll. In Czechoslovakia, Dubcek attempts limited reform, but in 1968, Soviet force crushes the Prague Spring. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5739"">Video/C 5739Ж","â€¢149; China, 1949-1972. Chinese communists win the longest civil war in 20th century history. Mao's land reforms are popular but in 1958, he embarks on a series of catastrophic changes. China maintains an increasingly uneasy relationship with the Soviet Union. In 1960 the Sino-Soviet split paves the way for President Nixon's historic visit to Beijing. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5739"">Video/C 5739Ж","â€¢149; Detente, 1969-1975. North Vietnam launches a new offensive against the South. The U.S. steps up its bombing campaign but seeks peace through diplomacy. Nixon and Brezhnev sign the Strategic Arms Limitation Treaty (SALT). The U.S. finally withdraws from Vietnam. Detente culminates in the Helsinki Declaration of 1975. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5740"">Video/C 5740Ж","â€¢149; Good Guys, Bad Guys, 1967-1978 The superpowers use surrogates to wage ideological and often physical conflict. In 1967 and 1973, American backed-Israel triumphs over Soviet-backed Egypt and Syria. In Africa, the Soviets exploit nationalist, anti-colonial struggles. The U.S. supports South Africa in its battle against communism. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5740"">Video/C 5740Ж","â€¢149; Backyard, 1954-1990. The U.S. has always regarded Latin America as its own backyard. Fearing the spread of communism, it seeks to destabilize leftist governments. In 1973, the CIA helps overthrow the Chilean President Salvador Allende; in the 1980s, it supports right-wing extremists in Nicaragua and El Salvador. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5740"">Video/C 5740Ж","â€¢149; Freeze, 1977-1981. Concern for human rights in the East grows; detente ebbs. The Soviets arm Eastern Europe. The U.S. threatens to site missiles in Western Europe. The Soviet invasion of Afghanistan ends detente. Promising tougher measures against Moscow, Reagan defeats Carter for the presidency. In Poland, martial law is imposed. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5741"">Video/C 5741Ж","â€¢149; Soldiers of God, 1975-1988. Afghanistan is a war that costs the lives of almost 15, 000 Soviet conscripts and an estimated one million Afghans. The U.S. supplies billions of dollars of weapons to unlikely allies--Islamic fundamentalists. The result is a Vietnam-style conflict which takes its toll on the Soviets and hastens the end of the Cold War. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5741"">Video/C 5741Ж","â€¢149; Spies, 1944-1994. Early CIA attempts to penetrate the Iron Curtain are thwarted. The U.S. reacts with increasingly sophisticated technological intelligence--the U-2 spy-plane, satellite reconnaissance and electronic eavesdropping. Yet human spies remain important. Sometimes betrayers, sometimes betrayed, many spies pay with their lives. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5741"">Video/C 5741Ж","â€¢149; Star Wars, 1980-1988. Reagan boosts U.S. defense spending and proposes the Strategic Defense Initiative, an anti-missile system in space. New premier Gorbachev knows the Soviets can't match the U.S., and wants to liberalize and reconstruct the Russian economy. After summits in Geneva, Reykjavik and Washington, the leaders agree to drastic arms cuts. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5742"">Video/C 5742Ж","â€¢149; The Wall Comes Down, 1989. Incredibly quickly, the Soviet bloc is breaking up, virtually without bloodshed. First Poland, then Hungary, then East Germany slip away from communist control. Gorbachev makes no effort to hold them back with force. Amid scenes of jubilation, the hated Berlin Wall comes down. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5742"">Video/C 5742Ж","â€¢149; Cold War. ConclusionsThe U.S. proves the stronger, the Soviet Union implodes. Germany is reunified. Shorn of its empire and communist domination, Russia faces its future with its economy in chaos. The balance of terror that has kept the peace for more than 40 years vanishes. The Cold War has ended without the use of nuclear weapons. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5742"">Video/C 5742Ж","U.S. History"
"Committee on Un-American Activities","The first film by a private citizen which criticizes a US government committee, includes 1930s footage of House Un-American Activities Committee (HUAC) Chairman Martin Dies (D) of Texas attacking ""subversives"" in labor unions; the Hollywood Witch Hunts; the Cold War blacklistings; and the 1960 San Francisco hearings. The film contains an analysis of how the HUAC subpoened the newsfilms of the City Hall protests from TV stations KRON & KPIX and used federal facilities to edit them into ""Operation Abolition. Among the HUAC's critics shown: Presidents Roosevelt and Truman, civil rights leader Rev. Wyatt T. Walker, Congressmen James Roosevelt & Phillip Burton, and Frank Wilkinson. Freedom of Information Act files also reveal that the HUAC, in violation of the First Amendment, investigated Robert Carl Cohen for making this film. Archival sound reproductions supplied by KPFA-Radio (Berkekely, Cal.); archival images supplied by KRON-TV and KPIX-TV (San Francisco, Cal.). 45 min.  (digitally restored) ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+8373"">DVD 8373Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+65"">Video/C 65Ж","U.S. History"
"Come to the Fairs (Walk Through the 20th Century with Bill Moyers)","A survey of America's World Fairs beginning with the first one held in Chicago in 1893. Discusses how fairs have changed in recent years. 1984. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+828"">Video/C 828Ж","U.S. History"
"Coming of Age, 1924-1928 (American Diary Series)","Presents the history of the United States between 1924 and 1928 including the flapper era, the boom times after the war which brought peace, prosperity and Prohibition. Examines ""Silent Cal"" Coolidge as president, Lon Chaney's ""Phantom of the Opera,"" the release of the first talking motion picture, Lindbergh's flight from New York to Paris, Al Capone in Federal Court and other events of the mid-twenties. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7397"">Video/C 7397Ж","U.S. History"
"Commanders.","â€¢149; Dwight D. Eisenhower, Feneral of the Army. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+457"">Video/C 457Ж","â€¢149;Erwin Rommel, Field Marshal German Army. Documentary about Rommel's life, focusing on his military victories in France and North Africa and his defeats at Alamein and Normandy. Presents facts concerning his involvement in a plot to kill Hitler and his untimely death. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+458"">Video/C 458Ж","â€¢149;Douglas MacArthur, General of the Army U.S.A. Focuses on Douglas MacArthur, Supreme Commander, Pacific Theater, his successful operations against Japan, in Korea and his confrontation with President Truman later. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+459"">Video/C 459Ж","â€¢149; Sir William Slim, Field Marshal, British Army.Focuses on Sir William Slim and his role as field marshal of the British Army during World War II in the China-Burma- India theater. His ""forgotten army"" fought, lost and won in the Burma jungles. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+460"">Video/C 460Ж","â€¢149; Sir Arthur ""Bomber"" Harris, Marshal of the Royal Air Force. Focuses on Sir Arthur Harris and his role as marshal of the Royal Air Force during World War II. 52 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+461"">Video/C 461Ж","â€¢149; Georgi Zhukov, Marshal of the Soviet Union. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+462"">Video/C 462Ж","â€¢149; Isoroku Yamamoto, Grand Admiral, Imperial Japanese Navy. Focuses on Isoroku Yamamoto and his role as admiral of the Japanese Navy during World War II. 62 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+463"">Video/C 463Ж","U.S. History"
"Confederacy Theory","Presents an unflinching portrait of the cultural war that has erupted around the confederate flag, filmed primarily in South Carolina, the last state to fly the flag on its capitol. Using never-before-seen archival footage and exclusive interviews with politicians, activists, and scholars, Confederacy theory traces the history of this symbol and its impact on Southern culture, history, and identity -- from the Civil War to the front lines of a modern-day secession movement. Produced and directed by Ryan Deussing. c2001. 56 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9739"">Video/C 9739Ж","Related web sites:","â€¢149;Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/american_studies/confederacy_theory"">Description from Berkeley Media catalogЖ","U.S. History"
"Crucible of Empire: The Spanish-American War","Examines the colorful characters and historic events surrounding the Spanish-American war and its relevance through the 20th century. Using reenactments, interviews with noted authors and popular historians, and more than a dozen popular songs from the period, this documentary looks at the influence of race, economics, new technologies and the news media on America's decision to go to war. Filmed in Cuba and the Philippines it tells the story of the war from all perspectives, not just the American side. Directed by Daniel A. Miller. 1999 117 min. ; ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2972"">DVD X2972Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6553"">Video/C 6553Ж","U.S. History"
"[Debs, Eugene V.] Eugene Debs and the American Movement.","A biographical sketch of Eugene V. Debs, labor leader, industrial unionist, and American Socialist, in Deb's own words, narrated from his speeches and writings. From after the Civil War until his death in 1926, Debs was part of U.S. history at a time when the foundations of modern industrial and corporate America were established. In this fifty year period, Debs was influenced by events as diverse as the massive railroad strike of 1877, the rapid growth of monopolies in the 1890s, World War I during which he was jailed for opposing the war, and the Russian Revolution. 1977. 44 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7298"">Video/C 7298Ж","U.S. History"
"Demon Rum.(The American Experience)","Portrays Detroit, Michigan before, during and after Prohibition. Includes segments about Henry Ford's influence and recollections of Detroitians. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1543"">Video/C 1543Ж","U.S. History"
"Destiny of Empires: the Spanish-American War of 1898","1998. 52 min. each installment","â€¢149; Remember the Maine: The Roots of the Spanish-American War Using archival footage, newspaper excerpts, and historical documents, this program traces the roots of the Spanish-American War to Spain's quest to preserve its flagging empire, American imperialism, and the genuine desire on the part of Cubans to shake off the yoke of Spanish domination. It closely examines the role of Cuba's poet/patriot Jose Marti, exposes Roosevelt's expansionist policies and the efforts of William Randolph Hearst that contributed to the decision to enter the war and reveals Spanish attempts to thwart open conflict. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1969"">DVD 1969Ж","â€¢149;The Spanish-American War: A Conflict in Progress. Using archival footage, newspaper excerpts, and historical documents, this program examines the conduct of the Spanish-American War from Theodore Roosevelt's Rough Riders, to the defeatist attitude of Spanish commander Admiral Cervera to Cuban General Gomez and his decision to side with the Americans. Archival news footage of battles and photos and firsthand accounts of the war by William Randolph Hearst track the precise sequence of events leading to the Spanish defeat and the Treaty of Paris. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1970"">DVD 1970Ж","U.S. History"
"The Diary of Sacco and Vanzetti","A docu-drama about the 1927 Massachusetts trial and execution of two Italian-American immigrant anarchists based on Vanzetti's own letters and speeches. Nicola Sacco and Bartolomeo Vanzetti, two Italian immigrants to America were executed after they were convicted of killing two people during a robbery in South Braintree. Their controversial trial became a political firestorm fueled by anti-immigration and ""Red Scare"" hysteria that gripped post-World War I America. This unique docu-drama, shot on location around Boston where the case took place, tells the events from the point of view of Vanzetti. Written and directed by David Rothauser. 2004. 57 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6909"">DVD 6909Ж","U.S. History"
"[DillingerЖ, John]Public Enemy #1","Chronicles the life of John Dillinger, from his first youthful brush with the law to his death a decade later in a hail of bullets. It explores how, at a time of great hardship, Americans felt more admiration for a daring criminal than their seemingly ineffectual institutions of government. c2002. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1038"">Video/C MM1038Ж","U.S. History"
"Do You Mean There Are Still Real Cowboys?(The American Experience)","Life on the range is observed in Big Piney, Wyoming, where the romantic image is contrasted to the hard life and harder hours of reality. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+1530"">Video/C 1530Ж","U.S. History"
"The Donner Party.","Chronicles the tale of the pioneer group that set out for California in the spring of 1846 and ended in disaster in the snows of the Sierra Nevada Mountains the following winter. More than just a riveting tale of death, endurance and survival, the Donner Party's nightmarish journey penetrated to the very heart of the American dream at a crucial phase of the nation's ""manifest destiny."" Touching some of the most powerful social, economic and political currents of the time, this extraordinary narrative remains one of the most compelling and enduring episodes to come out of the West. Directed by Ric Burns. Originally broadcast as a segment of the PBS television series: The American experience in 1992. 58 min. ; 

Full-text review from:
â€¢149; Ѭ href=""http://www.lib.berkeley.edu/MRC/DonnerParty.html"">ABC-CLIO Video Rating Guide for LibrariesЖ


","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3297"">DVD X3297Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2847"">Video/C 2847Ж","U.S. History"
"Don't Mourn, Organize!: Songs of Labor (Joe Hill)[SOUND RECORDING]","Contents: Joe Hill / Phil Ochs (Billy Bragg) -- Joe Hill's last will / Joe Hill (Utah Phillips) -- Joe Hill's ashes / Mark Levy (Mark Levy) -- The preacher and the slave / Joe Hill (""Haywire Mac"" McClintock) -- Joe Hill / Alfred Hayes, Earl Robinson (Paul Robeson) -- Paper heart / Si Kahn, Charlotte Brody (Si Kahn) -- Casey Jones, the union scab / Joe Hill (Pete Seeger and the Song Swappers) -- Mr. Block / Joe Hill (Mats Paulson) -- Joe Hill listens to the praying / Kenneth Patchen (Joe Glazer) -- The tramp / Joe Hill (Cisco Houston) -- Joe Hill / Afred Hayes, Earl Robinson (Earl Robinson) -- The white slave / Joe Hill (Alfred Esteban Cortez) -- Narrative (Elizabeth Gurley Flynn) -- The rebel girl / Joe Hill ; arr. and adapted with original material by Hazel Dickens (Hazel Dickens) -- There is power in a union / Joe Hill (Entertainment Workers IU 630, I.W.W.). ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSound%2FD+71"">Sound/D 71Ж","U.S. History"
"Dust Bowl Ballads (Woody Guthrie)[SOUND RECORDING]","Contents: The great dust storm (Dust storm disaster) -- Talking dust bowl blues -- Pretty Boy Floyd -- Dusty old dust (so long it's been good to know yuh) -- Dust bowl blues -- Blowin' down the road (I ain't going to be treated this way) -- Tom Joad, Part 1 -- Tom Joad, Part 2 -- Do re mi -- Dust bowl refugee -- I ain't got no home -- Vigilante man -- Dust can't kill me -- Dust pneumonia blues -- Talking dust bowl blues (alternate version). Recorded in New York City, Apr. 26, 1940 and May, 3, 1940. 

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eSOUND%2FD+72"">SOUND/D 72Ж","U.S. History"
"Edward R. Murrow Collection: The McCarthy Years.","Narrated by Walter Cronkite, this documentary turns back the clock to the 1950s, a time when the country lurched into a murky period of blacklists and witch-hunts for alleged communists, all led by a young Senator named Joseph McCarthy. Murrow made a controversial series of broadcasts that challenge McCarthy's abuses of power, which -- as this program investigates -- signaled the emergence of television news as a highly influential force in American life.   ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4009"">DVD 4009Ж, Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3167"">Video/C 3167Ж","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/murrowmccarthy.html"">Transcript of Murrow's ""A Report on Senator Joseph R. McCarthy."" [See it Now CBS-TV, March 9, 1954)]Ж","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/murrowmccarthy2.html"">Transcript of McCarthy's rebuttal to Murrow [See it Now (CBS-TV, April 6, 1954)]Ж
","Related web sites:","â€¢149; Ѭ href=""http://www.otr.com/ra/murrow5.ram"">Short audio clip of Murrow on McCarthyЖ (from Ѭ href=""http://www.otr.com/main.html"">Radio DaysЖ web site)","â€¢149; Ѭ href=""http://www.museum.tv/archives/etv/S/htmlS/seeitnow/seeitnow.htm"">See It Now website (Museum of Broadcast Communications)Ж","â€¢149; Ѭ href=""http://www.museum.tv/archives/etv/M/htmlM/murrowedwar/murrowedwar.htm"">Edward R. Murrow information (Museum of Broadcast Communications)Ж","See also:","â€¢149;Ѭ href=""#murrow"">This is Edward R. MurrowЖ","â€¢149;Ѭ href=""#murrow2"">This ReporterЖ","Ѭ href=""http://www.lib.berkeley.edu/MRC/murrow.html"">See separate bibliography of reviews and articles about this filmЖ
","U.S. History"
"Flights of Courage: Charles A. Lindbergh","Biography of the first pilot to cross the Atlantic non-stop. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1241"">Video/C MM1241Ж","U.S. History"
"Flights of Glory: The Daring Pilots of the United States Air Mail Service, 1918-1927","The United States Postal Service embarked on a bold experiment in the roaring 20's. From 1918 to 1927, daring pilots risked their lives to carry the mail across the continent, using primitive instruments, no maps and no radios. These young daredevils became heroes, and changed mail delivery forever. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM1239"">Video/C MM1239Ж","U.S. History"
"45/85: America and the World Since World War II","v. 1. From the jubilation of V-J day to the shocking Rosenberg Trial, 1945-1952 -- v. 2. From the invention of television to the first steps in space, 1953-1960 -- v. 3. From the Kennedy era to the final U.S. withdrawal from Vietnam, 1961-1975 -- v. 4. From America's bicentennial celebration to the Geneva summit, 1976-1985. 213 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+963"">Video/C 963Ж","U.S. History"
